post_id,text
pfbid0HBpzTV9TBKvYqRz8SeEVeqjKqz8ZUAfihGizqqREqhuZeDxj2DcDH2ruWExe5TxYl,"Pressure to succeed. Family expectations.Uncertainty amidst the COVID-19 pandemic. It can all feel overwhelming. If you're struggling with your mental health, talk to someone you trust. It can make a world of difference. #OnMyMind"
pfbid0AJ1ZSkheFyaVZ7NegrXKgvbrbkF22MRo3ajo96w1Tp2QXNqdbhKv2x5sq4cFbM4Ml,"COVID pandemic orthodoxy, the need for discussion and debate, the elimination of freedoms due to the COVID pandemic, Dr. Fauci demanding blind faith in authority, the important issue of whether the COVID vaccines prevent transmission, myocarditis risk from COVID and from vaccines, rise in ""unexplained"" deaths in a post-COVID vaccine world, the truth about how many lives COVID vaccines saved and lost, the lack of important data needed to understand the rise in deaths post-COVI… See more"
pfbid02gXvWP9Ctc1UYWZ9HdRsVZKViuaNZVhHTjGBCLC3NCQsEvydAEEEENHguuG6zxNErl,"You made a mockery out of us and so help me God let us never be dumb enough to collectively allow it to happen again! Take your face diapers, your social distancing, your jabs and boosters and shove it all!"
pfbid02Z7Joz2HY3Gbc3SiNtKdjymHc8ZxeoLwSvgKRpCzYA54DZzYuwrgNyUzLr1BAGA9vl, Covid 
pfbid026EzJk9yP8k6Rui4VTKPLep14qfFZ4cTYSPFNV73HAxDYLfbtnKiwtw7VH6KJegsXl,The COVID-19 pandemic has tremendously affected us all. Here are four things to keep in mind when having that ‘how-are-you-doing?’ conversation with your teen and to show that you are always there for them. #OnMyMind
pfbid032VzDeER32pcDFkN7EcesVcoVjPFPhjjWMN1neKNseiHN6xFycnVrRDX9ZvPo8ygPl,"Hello again, face mask? "
pfbid02Lw3dPNR2Gs48UZSg21AiDuZxhKgLVB52Sn95AM5JMUMoobYFPFRmQ9pQbnQPcBdnl,"It is possible that the COVID-19 variant JN has reached the country. 1, according to an infectious disease expert."
pfbid0DdK3aEwddcR5ZTrxrUzd4CWYqsfi2J9LRPA3KKT7FzxShxANSyqm5GzB4rsJEmSRl,"NEWS | Two Active COVID-19 Cases In Assam In a recent development, Assam has registered three COVID-19 cases, out of which two are active, according to Union Health Ministry data. A 75-year-old man from Assam tested positive for COVID-19 on Thursday night, December 21. As of now, there are two active cases in Assam. … See more"
pfbid0BReP5Kf6NP9pGRbt57ubcfJ8yoZT1AvQPwNvbHFtcPdKskhFQwBdWjuVqEepVuT5l,An expert is pushing for the return of mandatory wearing of face masks for two weeks as the #COVID19 case kicks in.
pfbid0vk2LVhLPWbyozwQ8hy4kqkwT7PCKKWpByVyiVFGaaV8wjxpqEL63EGCicDoJf9qGl,COVID-19 infection levels are rising and more people aged 18-44 are catching it than the elderly
pfbid09AbMi7yYKsDNH2CfvBZo61rwhe5ATBQgN18YtaTyfTMF1QX2HQGFKQVV8JbQKLeSl,ချောင်းဆိုးတဲ့အခါ ရေနွေးငွေ့ရှူပါ
pfbid09viNMztVPSma5RZAS1kW7yjyhU6xq9SnNMDkDDvPmJS33U1Bdx2jbZN1yezUvfRMl,လည်ချောင်းခြောက်ပြီး မသက်မသာ ခံစားနေရလျှင် 
pfbid0XFxNA2HEtJU84Jijs4H5yDj4XRmW562uk4F77W9BFtVS7uYsEKYJdd6pqrgdhw8Sl,''အဆုတ်ကျန်းမာဖို့ရာ လိုက်နာပေးပါ''
pfbid02iCTvnJPfHGiTPqTf5VaYczouY2Dp6QAjNiPZJiQiyiTZ9QJudf5wxTdjWqWkgiA4l,ချောင်းခြောက်ဆိုးခြင်း ဘာကြောင့် ဖြစ်ရသလဲ
pfbid0X9cyxGWK3NuUVG4eUWQcLFv1iozh8TNQuvVJEdCWwa6YWmWodq6VJtotMYH3qzvcl,ချောင်းဆိုးတယ်ဆိုတာ . . .
pfbid0DToyGcHEsAEGaQ8tnmj9b7TwrPJTcoXbrVkRKx71a4i4Dv7un64pK5s5vRJhNH3Pl,"#REPOST lang po, baka po sakaling makatulong "
pfbid02nv9Q6BksmyuzEmGwiF8ZzY9qJpiJgeLcVP4N5NKUqh1L1Mwrefhs1GvD7dMnT9kDl,"Ano ang Hand, Foot, and Mouth Disease? Hand foot mouth disease is a common infection caused by a VIRUS called Coxsackievirus types A16 and other enterovirus. It usually affects kids less than 5 years old, but older kids and adults can also get it. You can get it from air droplets when an infected person coughs or sneezes, contact with saliva from contaminated objects and feces. Symptoms include red spots and blisters over the palms, hands, feet, soles of feet, or butto… See more"
pfbid02mqnbwhSfWsYSceA8pg4n9bUW3y77Tv3KL4fvwQBSJHQjkk8mhL3Y5Zy1WxGT2V2cl,"Kizz Daniel, EMPIRE - Cough(Lyrics)#KizzDaniel #EMPIRE #Cough❖Follow WCY Trap ❖Youtube➸https://www.youtube.com/wcytrapFacebook➸https://www.facebook.com/wcytrapInstagram➸https://www.instagram.com/wcytrap… See more"
pfbid02Ua23H3PfnNJ6kAS3v4KJPsABs67An98sPcQ6W5bhz8wLnBLcyejkm1b1n7ZzdWAl,"This stupid cough doesnt go away , just tested Negative for Covid againThis stupid cough doesnt go away , just tested Negative for Covid again"
pfbid02VdVEZVY2Qwqt1DHejUp1mJAVsxXgBL6YbKU8AD3qPW1QAotzUjpao89bevByMu2il,"DON'T LET WET COUGH RUIN THE FESTIVE SEASON!Take a Rapid Action Now - Take TOSNIL COUGH SPRAY.The fast and effective way to get relief from PRODUCTIVE COUGH!Unique formula targets the root cause of your cough, … See more"
pfbid02iPiNeQmYk1aFHcWJ67NZmrPcdPcCyDY2fPZKPAJfUeUpFnR8wDhwco9jJ8LjGnftl,"President Ferdinand R. Marcos Jr is progressing well in his recovery. Today, on the fifth day of home isolation, the President is now free from cough, nasal congestion, and fever for more than 24 hours. All other medical findings were unremarkable. Consequently, the President's final diagnosis is Covid-19, Recovered. Throughout the entire home isolation period, the President was closely monitored by medical professionals. The isolation period concludes on December 10, 202… See more"
pfbid02VN67av7oWgiCpK1sW6RYFy4rJ8VFT5UNGaY8qhGDr6iHNfQmW5aPHuy3pPjVHLPNl,Driil dry cough & Expectorant 
pfbid0YBbQMBdLmrbUQGuS8k9wuH2PkXS9RzDLmduTS7rbY45HP9BgKSjtv3HfHDp7TUpl,استناداً للتقلب بالجو المناخي عدنه 
