post_id,text
pfbid02DpfZsT4KsgG8B1SUy3kBX1YG3WoPEAXZB8hfmypC4GkSdQj2A6PH1HnZGTqVnm5al,လည်ချောင်းခြောက်ပြီး မသက်မသာ ခံစားနေရလျှင် 
pfbid02Cab2evaAzMhtor7ev6ZZM22HVoaKS4LFQTjyMFK8BhqKbbY4Uu4ABrPaQRKpbfHJl,ချောင်းဆိုးတဲ့အခါ ရေနွေးငွေ့ရှူပါ
pfbid0256NJd7kFnz6EduYqJnAw2oUKuhTicrgyZt9C7SvUtC7f8fNxxPnScjPFeDbdMNcgl,လည်ချောင်းနာခြင်းအတွက် အိမ်တွင်းကုထုံး
pfbid0Whqy12YtuYNtxoJrZvR1o2Cti66tJp8aysGVS2AYgtBMWR9XjoT3Ebv5f3yejS1Fl,"There are simply no words to express our heartfelt thanks for the prayers and sympathy you have extended to our family during this time of loss. Lloyd was confined in the hospital on September 1 due to high fever and dry cough. He was tested for COVID-19 on the same day which the result came out positive on September 3. As soon as the result of his swab test came out, our family, including BNT immediately isolated themselves. His vitals were okay and had no complaints. On S… See more"
pfbid0qcXs8DbhbUyQA2fDcyuBf228bPDtjfGSZKTCN34uVcytBSHLDMhbfmyzRBEnG9pol,Pag parang walang tigil na ang ubo mag Butamirate Citrate (Sinecod Forte) na! For dry cough.Always read instructions on pack before use.Consult your doctor if your cough symptoms persist. Always wear a mask to protect yourself and others. Stay safe by staying home during this period especially when you are unwell.… See more
pfbid02afx36pssYpVbyePA7AbqnwvJb79ZrsVFh1x8mVxpxguma3FTMQXLiykWJiNMo7fHl,''အဆုတ်ကျန်းမာဖို့ရာ လိုက်နာပေးပါ''
pfbid02LQnujpWr5WGA14dqh3r21LPss4Ng49QxWjeUNpfXE5r4JHgNkqSum3W7vKD58ev5l,"Kinumpirma ng pamilya ni Lloyd Cadena na nagpositibo sa #COVID19 ang sikat na Youtube vlogger. Dagdag ng pamilya ni Lloyd, ipinaalam din sa kanila ng doktor na inatake siya sa puso habang natutulog.""Lloyd was confined in the hospital on September 1 due to high fever and dry cough. He was tested for COVID-19 on the same day which the result came out positive on September 3. As soon as the result of his swab test came out, our family, including BNT immediately isolated themse… See more"
pfbid028Dz4E9sTfwtUekuCKX9mPGxX88JLRdDnPqsuYmGxXifnbMCWvrfxPAzf5MfCbarDl,Tuyong Ubo (Dry Cough)
pfbid02kcMr7GjFeNRntJtSTffRppE8EJryxftMMuPwYihJx4RaDB8VZWbL97M64bYpVPYBl,Dry Cough: Anong Dahilan?
pfbid06Z1MmQZkiBrDs4RyP3dumYic5mR5nc5vi2smriXtieX4a3JFL1U2UjmknUKzZxGxl,Cough syrup 1962 grandparents used it
