id,desc,createTime
6898408480009489408,get a COVID test done they said it was fun. #covid #fyp,23-11-2020
6886508842474064896,Yea I wanna skip this movie... #2020 #movie #trailer #parody #comedy #commercial #youtube #covid,22-10-2020
6868767887058865152,a very bad experience 1/10 #covid #corona,04-09-2020
6909683368057785344,Dear #2020 nobody saw you coming this way. #fyp #covid #foryou #sad,24-12-2020
6832035283672910848,Homelessness care packages en route! @enchroma #Venmo: mollybethh_lit #viral #actsofkindness #fyp #lgbtq #pandemic #covid #homeless #community #nyc,28-05-2020
6885362525429419008,Loving reunion after seven months #covid #reunion #love #humankind 🎤@theraymondsalgado,19-10-2020
7044629083841661952,When your friend still doesn’t have her taste back after COVID! #michigan #covid #tastetest,22-12-2021
6979635772995472384,#covid19 #covid,30-06-2021
7002820174709672960,I’ll be holding it up😏🧍🏽‍♀️#fypシ #swag #bored #covid #chola #purplebrows #TalkCurlyToMe #viral,01-09-2021
6858643778207599616,#macro #microscope #zoom #viral #macrozoom #mask #coronavirus #covid,08-08-2020
6896065608706821120,#hospital #krankenhaus #berlin #fun #spass #heywhat #hey #what #like #sunset #landscape #covid #pathology #emergency,17-11-2020
7010017269245938688,I’m in Spain. The S is silent #ThatCloseMessenger #IDeserveTuitionContest #covid #2021 #crazy #foryoupage #foryou,20-09-2021
6862768833720028160,that said mike pence is a nightmare #aug27 #trump #theory #covid #fyp #greenscreen,19-08-2020
7193380477988768768,#charlidamelio #2019 #covid ,27-01-2023
6981174104275700736,😭🙈 why #greenscreen #vaccine  #greenscreenvideo #joke #covid #funny,04-07-2021
7033404731275971584,#covid #covid2020 #coronavirus #covid19 #covid2021 #covidー19 #covid_19 #getvaccinated #pandemic #coronavirüs #fyp #fypシ,22-11-2021
6961271821371051008,A quién le pasó?#vacuna #covid #auch,12-05-2021
6829366861453462528,Mask Lady is back and she is mad #fyp #gasstation #foryiu #viral #karen #mask #fyp #fortoupage #funny #mask #covid,21-05-2020
6937346297078795264,i sneezed making this😭😭 #jefreestar #sneeze #VideoSnapChallenge #CaliStarChallenge #fyp #foryou #foru #fypp #foryoupageofficiall #4u #lol #covid #:),08-03-2021
7001502906553764864,It’s the pushing the cup away at the end for me😂💀 #ChewyChattyPets #covid #coronaviruscheck #fypシ #burntorange #remedies #foryoupage #siblingcheck,28-08-2021
6957002185825733632,What did you drive to Prom? #highschool #prom #prom2021 #covid #seniorprom #school #mycar #cartok #cartiktok #carsoftik #tesla,30-04-2021
6906352324315204608,#covid #vaccine #microchip #didyouknow,15-12-2020
7052405299944098816,Watch till the end😲❤ #respect#covid#staytogehther#positivity,12-01-2022
7310315279245052928,Nope! I know that cough anywhere! #cough #bronchitis #fyp #medical #medicalhumor #pulmonary #t#trending,08-12-2023
6915102403939322880,Thoughts from the ER #vape #vaping #smoke #health #healthy #tips #data #cigarette #asian #emergency #nicotine #pack #cough #headache #relief #teeth,07-01-2021
6857436566776728576,farting out of 10 😂#fart #farting #funny #skill #uk #fyp #foryou #foryoupage #cough #smells,05-08-2020
7111749294578813952,🤣your @ first is looking for a sugar daddy #duetwithfahima #tiktoksouthafrica #trending #comedy #funny #jokes #foryoupage #sugardaddy #cough #funny,21-06-2022
7083201007664057344,#cough #sneeze #fart #adorable #baby #bodyfunction #ha #fy #fyp,05-04-2022
7158815466734078976,Replying to @C j the most requested song on my page #cough by @greatvado ,26-10-2022
7007465365391428608,#uber #mask #cough #brat,13-09-2021
6983699122847009792,WHERE IS SHE LEARNING ALL THIS FROM?! #sickness #healthtips #cough #plottwistitsnotajoke #plottwist,11-07-2021
7137427581694970880,#school #fyp #sick #cough #minecraft ,29-08-2022
7159598695065996288,#heavenaimersfoundation #foryoupage #cough #coughchallenge ,28-10-2022
7155485520179645440,kizzdaniel - Cough #kizzdaniel #cough #music #afrobeats #goodvives #liveperformance #trending #viral #fypシ #xybca #foryou #tiktoknigeria #tiktokafrica,17-10-2022
7157010858969697280,Mad version 😫😫😫#commissionerdjwysei #cough #fyp #drummer #queen #dj #rush #performer #funnyvideos #remember #idontcare ,21-10-2022
7287633807128202240,it’s not worth it just cough you guys #americanhighshorts #cough #coughing #class #schoolproblems ,08-10-2023
7164093241409735680,GIRL POWER🤣 @Matifa @Mati_fa.officiel INSTA & YOUTUBE : Babymatima  FB : Matifa Officiel  #kizdaniel #matifa #babymatifa #mati_fa #drole #comedie #rire #usa #afrique #trend #cough #tendencia #tendance #mati_famiily #chicken #poulet  ,09-11-2022
7116602366882761728,Fija hay algun@s hahaha🤣 #Esposa #Millonaria #Billionaire #Cough #Sick #Smile #ForYou #fyp #Viral #xyzbca,04-07-2022
7114377782351727616,Bros chest is most definitely hurting #ITriedItIPrimedIt #ashleykeno17 #cough,28-06-2022
7030325968761801728,Don’t forget to drink it from bed time apparently it works! Try it #cough #coldweather #flu  #coldseason #sick #ill #notyum #ohwell #foryoupage #viral,14-11-2021
7168020279229254656,"It is her vibe🤩 for me😁, What about you?  #atifthegr3at #cough #trending #fyp #zanzibar ",20-11-2022
7268481764098575360,"If you want to get rid of mucus, coughing, sinus issues etc.. mullein along with other herbs will help clear out and ease any inflammation in your respiratory tract! Our breathe is available on tikton shop now! #mullein #mulleinleaf #mucus #asthma #cough #sinusrelief #lunghealth #coldandfluseason #coldandfluremedies #mucusrelief #fyp ",18-08-2023
6980454142523362304,Srsly tho if you got #phlegm try this- loosens the goo right up. #cough #healthhack #gross #sry,02-07-2021
7295155551913266176,Thoughts from the ER #vape #vaping #smoke #health #healthy #tips #data #cigarette #asian #emergency #icotine #pack #cough #headache #relief #teeth,28-10-2023
7157250629356801024,"Please Take Some Seconds of your Time to Follow me on Ig Please 😭😭😭link on my Profile, @energydiva__ #fyp #viral #trending #energydiva #marysmart #xybca #xybzca #xybcafyp #xybcza #odoyewu #cough",22-10-2022
7155891780821470208,Cough ❤️#cough #sharoncmons1 #sharoncmons02 ,18-10-2022
7096572137070283776,Jeez @E4ma saved me 🥰 #fypシ #foryoupage #trend #viralvideo #teamsam🔥 #legwork #afrodance #afrobeats #dancechallenge #cough #coughing,11-05-2022
7138874246176033792,His reaction 🤣😂 #fypシ #foryoupage #trend #viralvideo #teamsam🔥 #prank #afrodance #afrobeats #dancechallenge #cough #coughing,02-09-2022
7173806025110195200,There’s a ton of viruses going around right now. These are the top 5 most common I’m seeing in the ER right now #virus #kids #parents #sick #ER #cough #Top5 ,05-12-2022
7113675072228854784,Have a sore throat or a dry cough? Pull on the front of your neck and rub your thumbs to clear it! 🔥 #coughing #coughrelief #drycough #sorethroatremedy #feelingsick #flu #commoncold #scratchythroat #laryngitis #tired #sundayreset #fyp #learnontiktok #wellnesstips #TikTokTaughtMe #TikTokPartner,26-06-2022
7209715106471480320,If I had to pick one side effect #stati #amlodipine #ramipril #aceinhibitor #omeprazole #ppi #cdiff #metformin #levothyroxine #anxiety #bisoprolol #betablocker #edema #drycough #dirrhea #musclepain #fatigue @Naveen Veen ,12-03-2023
7030081760855706624,#drycough #sickkids #helpfultips #formums #foryoupage #fyp #kids #VansCheckerboardDay #babiesoftiktok #babies #caughing,13-11-2021
7182373035289103360,#Cough #Cold #flu #CoughSuppressant #CoughRemedies #DryCough #mucus #NowYouKnow #TheMoreYouKnow #Medicaltipp #HealthTip #Pharmacist #Pharmacistadvice #NowYouKnow #FYP #ForYourPage #ForYou #Nasacort #flonase ,29-12-2022
6901518347079339008,#covid #questionnaire #drycough #juicy #fyp,02-12-2020
7137654279577422848,#drycough#smoking#pnemonia#cough#cold#fyp#eliyahmashiach#learnfromeliyahmashiach,30-08-2022
6805248235771366400,How to use #kinesiotape for #fever #drycough and #stuffynose. #kinesio #kinesiotaping #Fyp,17-03-2020
7041323459649096704,Home remedies for cough and cold #just sharing my experiences #karunalovely #karunastips #Karunakitchen #foryoupage#tiktok#coughandcold #homeremidies #drycough#🙏❤️,13-12-2021
7138013808383101952,#drycough#lungcancer#learnfromeliyahmashiach#eliyahmashiach#fyp#smoking#cigarette,31-08-2022
7289091091008146432,Home remedy #cough #sick #cold #drycough #orangecoughremedy #homeremedy ,12-10-2023
6895508550416714752,pls does anyone else relate to this? #growingupcatholic #irishcatholic #churchlady #oldwoman #drycough #impression,16-11-2020
7303853907933957120,#phlegm#mucus #sinus #runnynose #cough #coughing #wheezing #stuffynose #drycough #drsebi #chest #chestinfection #sinusitis #sinusrelief #kidney #kidneyhealth #fruitdiet #chestcongestion #cough #drycough #wetcough #infection #khansi #winter #phlegm #herbal #treatment #home #remedy #hakeem #doctor #herbalistaliazam #womenproblems #womenshealth #womentip #womenprom #lykorea #weaknees #kamal #بلغم #بلغمی #estima #estimacao #balgam #khans #doctor #herbalistaliazam #varilvideo #london #londonlife ,21-11-2023
7148400994987166720,जिरा नराखी कालो मरिच राख्दा पनि हुन्छ र धेरै नै खोकी छ भने चाही अस्पताल लैजानुहोला 😊 #girvanithapa #homeremedy #drycough ##toddler #toddlersoftiktok #girvanifam #fyp #foryou ,28-09-2022
7283865381482204160,#onthisday सुख्खा खोकीको लागी best घरेलु उपाय 😊 #drycough #homeremedy #remedy #momsoftiktok #girvanithapa #girubaby #pyarigirvani #gyanigirvani #maamuchori #tiktoknepal #girvanicare #fyp #foryou #foryoupage ,28-09-2023
7031596169360919552,Have 1 tbsp from bed time apparently it works. ( u can take orange or lemon). Try this #cough #drycough #coldweather #homeremedy  #flu #coldandcough,17-11-2021
7311033480954022912,اوقف السعلة الناشفة ... بيدك! Stop the dry cough ... with your hand! #cough #coughing #drycough #learnontiktok #تعلم_على_التيك_توك ,10-12-2023
7245362839198731264,Dry cough with ramipril #pharmacy #ramipril #hypertension #highbloodpressure #heart #drycough #medicine #fyp #foryou #foryoupage #fypシ゚viral #viral #fypシ #doctor #nhs #fyppppppppppppppppppppppp #viralvideo ,16-06-2023
7107533230198246400,मैले यो हिजो बेलका try गरेँको थिय अनि काम गर्यो भने tiktok मा राख्छु भनेर यसले साँच्चिकै काम गर्यो हिजो राती गिर्वाणी ले एकपटक पनि खोकिनन😊 हजुरहरु पनि try गर्नुहोला मामुहरु ❤️ #girvanithapa #girvanicare #homeremedy #drycough #tiktoknepal #girvanifam #fyp #foryou,10-06-2022
7111482976613026816,MEN AND WOMEN WHO SM0KE DID YOU KNOW THIS?#smoking#lungs#drycough#fyp#eliyahmashiach#learnfromeliyahmashiach,21-06-2022
6967405521162767360,tag ur crush #fyp #foryoupage #snacking #horsegirl #InTheHeightsChallenge #FriendsReunion #tompkinssquarepark #TeamUSATryout #drycough #tattoos,28-05-2021
7097210443005004800,A very common side effect #drycough#lisinopril#highbp#lifestylemedicinedoctor#primarycaredoctor#blackdoctorwhitecoat#angioedema,13-05-2022
6966668726129167360,always knock first kids @lukasbattle #fyp #foryoupage #driverslicense #oliviarodgrigo #FriendsReunion #ConjuringHorror #hollywood #drycough,26-05-2021
7130463063341337600,#cough #phlegm #sorethroat #mucus #breathingproblems #infection #drycough #tickleinthroat #allergies #relief #help #oviedo #casselberry #longwood #wintersprings #orlando #acupressure #acupuncture #acupuncturenearme #acupuncturist,11-08-2022
7240030361294556160,#drycough #coughing #cough #itchythroat #干咳 #咳嗽 #hoest ,02-06-2023
6966854765263211520,Do you still have Dry Cough after Covid Recovery? Watch Video to find out the Remedy! 🦠🥱 #covid #postrecovery #drycough #homeremedy #doctor #fyp,27-05-2021
7242373290365422592,Lisinopril facts! - ACE inhibitors 💊 #pharmacist #pharmacystudent #preregpharmacist #pharmacy #highbloodpressure #hypertension #mpharm #bnf #uni #aceinhibitors #lisinopril #nurse #doctor #medicine #medicineexplained #drycough #pharmacytechnician #,08-06-2023
7302847260478442496,بەتانیەکم لۆ بینن ئەیهوار  I have a dry cough  کۆخەیەکی وشکم لێیە I have a wet cough  کۆخەیەکی تەڕم لێیە  Fever 🤒  تا، بەرز بوونەوەی پلەی گەرمی لەش Serious flu پەسیوێکی جدی، بە واتایەک کە زۆر نارەحەتی کردیمە، پەسیوەکی توند Under the weather  ئیدیەمێکە واتە نەخۆشم  I’m under the weather  واتە نەخۆشم  #english#learning#idiom#expression#flu#cough#fever#wetcough#drycough ,18-11-2023
7182383801866406912,#Cough #Cold #Flu #ProductiveCough #Phlegm #Mucus #DryCough #chestycough #NowYouKnow #NoMoreYouKnow #Covid #FYP #ForYourPage #ForYou #Pharmacist #Pharmacistadvice #Bromelain #Pineapple #PineappleJuice #HealthTip #Mucinex #CoughSuppressant #Humidifier #HealthTips #Medicaltip ,29-12-2022
6869177021361179648,this is a #fever #dream✨😍,06-09-2020
6982754903823240192,두 눈👀 감아버리면😌 사라지는💨 세상🌐 얍!#예지 #류진#얍챌린지 #얼음깨챌린지 #BreakIceChallenge#2021년을잘보내는방법 #얼음깨 #BreakIce#다비있지 #둘째이모김다비 #ITZY #있지#VIVOTV #비보 #FEVER #피버뮤직,09-07-2021
7050038190542949376,#fyp #lagnat #fever #amazing #ayawkona #withthetasteofyourlips,06-01-2022
6999928381903031296,Reply to @athirah_army here’s the note [ ib: @f4iryzi ] #enhypen #fever #fypシ #fypage #zyxcba,24-08-2021
7164830387263360000,#stitch with @stephiealyssa #fy #fyp #foryou #foryoupage #baby #babyfever #fever #business #suit #businessman #money #bank #account #bankaccount #whiteboard #you #invest #investment ,11-11-2022
7103340935743851520,Ibuprofen or acetaminophen? Here’s a run down #pain #harrystyles #fever #muscle #pharmacy,30-05-2022
6997064474142313472,Ah! #enhypen #fever #kpop #kpopkaraoke #kpopkaraokechallenge,16-08-2021
6964588386669710336,Why didn't I notice this when the track released 😀 #enhypen #engene #FEVER #bordercarnival #niki #riki #kpop #fyp #fypシ #🐆,21-05-2021
6978542526533831680,🧡🖤#enhypen #fever #engene #fypシ #janganlupabahagia,27-06-2021
7260872237731924992,this girl representing all of us💁‍♀️ #enhypen #heeseung #lee #fever #rkvz ,28-07-2023
6978948721966910464,Krkrk je dérangeais fort pendant le tournage de @highercrew 🤭soon… #enyphen #fever #dance #kpop #dancecover #asian #foryou #fypシ #behindthescenes,28-06-2021
7065673096702757888,jay adalah aku ketika dengar lagu fever😂 #jay #jayenhypen #fever #enhypen #fyp,17-02-2022
6979169963609164800,this is a highly requested dance cover and i- wassoscaredtodothisdancecoveraHHHH @enhypen #enhypen #fever #엔하이픈 #engene #kpop #kpopfyp #추천,29-06-2021
6975918749027273728,💕 @enhypen #fyp #pourtoi #fever #enhypencover #enhypen,20-06-2021
7048622438141250560,БОЖЕ МНЕ ТАК НРАВИТСЯ АЭАЖПХКЖАБПЬЫДЬК #fyp #foryourpage #bpmamoitzytw #redlights #lion #fever,02-01-2022
7226330807550397440,LIKE A FEVER FEVER FEVER FEVERRRR #fever #enhypen #kpop #engene ,26-04-2023
6982914167053290496,‘얼음깨’ MV 따라하기 얍~!!같은 가사 다른 상큼함여기에 모두 있지🤗#얍챌린지 #얼음깨챌린지 #BreakIceChallenge#2021년을잘보내는방법 #얼음깨 #BreakIce#다비있지 #둘째이모김다비 #ITZY #있지#VIVOTV #FEVER,09-07-2021
7208862745301715968,Anna's birthday party.#frozen #fever #elsa #anna #kristoff #tiktok ,10-03-2023
7006323657064614912,thank u so much for filming @suluniee! 🥺💞 @enhypen #kpop #enhypen #fever   #kpopinpublic #kpopdancecover #kpopfancam,10-09-2021
7201470205187443712,I want to see this in real life fr | #enhypen #NIKI #fyp #fypシ #foryou #engene #xyzbca #fever #viral #ni_ki #niki ,18-02-2023
7004084290023656448,#enhypen #kpopfyp #fever #smule,04-09-2021
7004755287366290432,Reply to @s_kkhu wear headphones 🎧 #enhypen #fever #lyrics #fypシ #neon #dark #kpop,06-09-2021
6969268182649555968,yes?? #ni_ki#enhypen#enhypenedit#nikienhypen#enhypenniki#niki#nishimurariki#riki#enha#engene#fever#enhypenfever#nikiedit#kpop#kpop#kpopedit#fyp#foryou,02-06-2021
7260805305137630208,Lord ganito ka po pala sa iba 😭🖤 Paradoxxx+ Bite Me + Tamed-Dashed + Fever + Polaroid Love #enhypen #schoolattack #fyp #paradoxxxinvasion #biteme #tamed_dashed #fever #polaroidlove ,28-07-2023
6917338775534324736,Thoughts from the ER #fever #hawt #little #medicine #wait #parents #measure #feel #accurate #hospital #mouth #nurse #doctor #emt #paramedic #sick #be,13-01-2021
6765827982624869376,여러분들의 뜨거운 사랑에 보답하여@강시원Xiwon  님과 함께 달아올라! ♡_♡#FEVERchallenge #JYP #박진영 #JYPark #FEVER #thatssotiktok #foryou,02-12-2019
7107668487408995328,Im moving to Greenland for the summer xxx #JDSummerDrip #fyp #keflafod #summer #hotweather #hightemperature #uk #ihatesummer #hayfever #pollen #cantsleep #england,10-06-2022
7174468802233568256,Symptoms of #scarletfever   #scarletfeverawareness  #groupastrepsymptoms #groupastrep  #signs #nurse #nursesoftiktok #parents #parentsoftiktok #GAS #igas #rash #sandpaper #sorethroat #hightemperature #hightemp #hospital #gp #nhs111 #999 #call999 #nhs #nhsuk #childrensnurse ,07-12-2022
7033327871275961344,High temperature #hightemperature #chemo #chemotherapy #inflammatorybreastcancer #her2positive #breastcancer #positivevibes #cancerwarrior #cancersucks #myjourney #mystory #mylife,22-11-2021
7173770986360179712,#strepawareness #strepA #scarletfever #strawberrytongue #strepauk #scarletfeversymtoms #hightemperature ,05-12-2022
7146362305352043520,"whenever I have a sore throat, I always have so much saliva 😪🤒 #sick #imgoingdown #sorethroat ",23-09-2022
7159702741361708032,"The EASIEST sore throat 🤒 remedy: 🤕 What you need: ✅Iodine 10% solution  ✅Q-tip ⬇️ Apply in a grid-manner When you are sick, the iodine will get absorbed very fast, within 1-2 hrs. Keep reapplying until ful l recovery.  #norxneeded  #sorethroat #naturalhealing ",28-10-2022
7090352918532049920,Bye bye sore throat ! ❤️‍🔥 #acupuncture #sorethroat #commoncold #remedy #naturalremedy #PringlesCanHands #TalkingTree #onlyinmycalvins #health,25-04-2022
6803344997564288000,"You asked, here it is. 🙌Point for sore throats and colds. #playwithlife #sorethroat #immunity #theacudoc #carolinafamilyacupuncture #spartanburgsc",12-03-2020
7165154801964272640,"if you know , you know. vapo rub protec😈  #vicks #vicksvaporub #sick #flu #memes #tiktokmemes #jokes #bossfight #eldenring #skyrim #sickness #protect #coughing #sorethroat #heal #healthmemes  ",12-11-2022
7168551274051374080,It’s not crazy if it works. If I fall asleep in a room without this cup of water - I’ll wake up with a sore throat 100%. #airconditioner #airconditioning #water #sorethroat #dryair #tiktoksg #doyoudothis #pls #tellme ,21-11-2022
7035880079574027264,#SoreThroat #SoreThroatRemedy #Cold#CoughAndCold#SoreThroatRelief #FYP #Acupressure #Doctor #Pharmacist# NBCAnnieLive#GiveWithAllYourHeart #MyAncestry,29-11-2021
6993506144576719872,FOLLOW MY IG❤️ #learnontiktok #tiktokpartner #sorethroat #sorethroatremedy #sick #coldremedies #throathurts #cough #learnhow #didyouknow #healthtips,07-08-2021
7212370132512017408,What to take at the beginning of a cold. Propolis B Immune and Zinc lozenge #coldsymptoms #URI #covid #flu #sorethroat #medstudent #patient #doctor #doctok #pa #np #fyp #foryou ,19-03-2023
7226866131745770496,arrested development >> @zigs_mom shows us how she styles the vampress crop in bad baby blue 💫 online now in all your fave dyspy colours 💕 #dyspnea #styleadvice #tryonhaul #outfitinspo #stylingvideo #eventwear #arresteddevelopment   ,27-04-2023
7031057682601643008,minus 10 points if u don’t know this scene #fyp #foryou #dyspnea,16-11-2021
7083741910006811648,Reply to @sezcan1  I literally ordered this outfit in SEPTEMBER 2019 🤣🤣🤣 I’m thrilled to finally wear it!!! 🥳🥳 #brisbane #dyspnea #coachella #coachella2022 #coachellaoutfit,07-04-2022
7215509520074689536,"she’s finally here! ✨ introducing the Vampress 💋 available in a mini dress, midi dress and long sleeve crop and online now 👀🥲 #dresstryon #outfitinspo #dyspnea #personalstyle #minidress #pinterestaesthetic ",28-03-2023
7211313963957636096,PSA hunnies! the ta ta bodice in black is back online now! 😭✨ but she never lasts long so we recommend running to the site 🏃‼️ #dyspnea #corsettryon #unboxing #bodice #underbustcorset ,17-03-2023
7222066610239032320,"this song has been in my head for days 😭 wearing the vampress midi dress in fuchsia, online now and also available in black and red 🌹 #dyspnea #pinterestoutfit #fairycore #outfitinspo #styleadvice #dresstryon #mididress ",15-04-2023
6882912639828200448,"yeah, it’s a no from me 😊 #fyp #dyspnea",13-10-2020
7017710275889466368,this one's a tad see-through in the sunlight but perfect for a night out xx modest ones coming i promise 💗 #dyspnea,11-10-2021
7032858889213201408,any excuse to use this sound tbh #fyp #foryou #dyspnea,21-11-2021
7259920547117599744,our pr fairy @Carms shows us how to tie the ta ta bodice over the paris mini dress 💕✨ this dress is on sale now hunnies and once its gone its not coming back 😔 carms also wears the serving you eddy shrug in bb pink 🎀 #dyspnea #outfitinspo #pinterestaesthetic #fairyaesthetic #corset #bodice ,26-07-2023
7218741223794822144,"styling the vampress midi dress 💋 online now in red, black and fuchsia ✨ #dyspnea #pinterestoutfit #smallbrand #dresshaul #tryonhaul #eventwear #outfitinspo ",06-04-2023
6920382414321748992,guys!!!! this dress!!!!! i’m screaming!!!!! @dyspnea #fyp #dexcom #t1d #dyspnea,22-01-2021
6905909723250330624,A reminder to save this and play it every time you get dressed 🥰 @zigs_mom wears an S in the Paris Mini Dress 💫 #fyp #dyspnea,14-12-2020
7087654526131473408,Reply to @lilygfreeman I’m still in so much shock that a split second moment has ruined so much 😭😭 Losing everything that I worked so hard on is the hardest part 😢 #coachella #grwm #coachella2022 #dyspnea,17-04-2022
7236471542136261632,Lifetime Of Memories “Dyspnea Deborah” #DyspneaDeborah #dyspnea #goodstories #silverline #foodforthought #foodforthesoul #nursingstories #nursingmemories #thegoodones #thesassymurse #lifetimeofmemories #memorylane #burnoutdiaries #patientstories #goodtimes #goodvibes #powerfulstory #motivationalstory #lifetips #fyp #fypシ #nurs #nursesoftiktok ,23-05-2023
6902484970946710528,So excited about this purchase 🥺🧤🐸🐛🐢🐍🪲 #fyp #dyspnea #styleideas,04-12-2020
7303683697515957248,What are some words you’ve pronounced wrong in the medical field? Ill go first 😅 #mispronouncingwords #mispronunciation #nursingterms #medicalterms #tinnitus #tachypnea #bradypnea #dyspnea ,20-11-2023
6818372680484408320,Getting ready for my zoom date 🤪✨ #ootd #fashion #dyspnea #fyp #foryoupage,22-04-2020
6905915622266326016,love u @chrissychlapecka 👏🏼 wearing @dyspnea and my #dexcom 👀 #fyp #dyspnea #t1d,14-12-2020
7206163995835894784,Harry Styles LOT Sydney outfit! #harrystylesconcert #harrystylesauslot #auslot #auslotoutfit #harrystylesoutfit #dyspnea ,03-03-2023
7029206345001831424,any excuse to use this sound and wear @dyspnea 🤤 #fyp #foryou #dyspnea,11-11-2021
7087753475613805568,Reply to @annamarie.aitken  We went to Neon Carnival last night & it was a much better experience than Coachella because of how tight the security was 🙏🏻 We’re trying to make the most of the trip but it is really hard 😢 #coachella #coachella2022 #neoncarnival #dyspnea,18-04-2022
