id,desc,createTime
7310315279245052928,Nope! I know that cough anywhere! #cough #bronchitis #fyp #medical #medicalhumor #pulmonary #t#trending,08-12-2023
6915102403939322880,Thoughts from the ER #vape #vaping #smoke #health #healthy #tips #data #cigarette #asian #emergency #nicotine #pack #cough #headache #relief #teeth,07-01-2021
6857436566776728576,farting out of 10 😂#fart #farting #funny #skill #uk #fyp #foryou #foryoupage #cough #smells,05-08-2020
7111749294578813952,🤣your @ first is looking for a sugar daddy #duetwithfahima #tiktoksouthafrica #trending #comedy #funny #jokes #foryoupage #sugardaddy #cough #funny,21-06-2022
7083201007664057344,#cough #sneeze #fart #adorable #baby #bodyfunction #ha #fy #fyp,05-04-2022
7158815466734078976,Replying to @C j the most requested song on my page #cough by @greatvado ,26-10-2022
7007465365391428608,#uber #mask #cough #brat,13-09-2021
6983699122847009792,WHERE IS SHE LEARNING ALL THIS FROM?! #sickness #healthtips #cough #plottwistitsnotajoke #plottwist,11-07-2021
7137427581694970880,#school #fyp #sick #cough #minecraft ,29-08-2022
7159598695065996288,#heavenaimersfoundation #foryoupage #cough #coughchallenge ,28-10-2022
7155485520179645440,kizzdaniel - Cough #kizzdaniel #cough #music #afrobeats #goodvives #liveperformance #trending #viral #fypシ #xybca #foryou #tiktoknigeria #tiktokafrica,17-10-2022
7157010858969697280,Mad version 😫😫😫#commissionerdjwysei #cough #fyp #drummer #queen #dj #rush #performer #funnyvideos #remember #idontcare ,21-10-2022
7287633807128202240,it’s not worth it just cough you guys #americanhighshorts #cough #coughing #class #schoolproblems ,08-10-2023
7164093241409735680,GIRL POWER🤣 @Matifa @Mati_fa.officiel INSTA & YOUTUBE : Babymatima  FB : Matifa Officiel  #kizdaniel #matifa #babymatifa #mati_fa #drole #comedie #rire #usa #afrique #trend #cough #tendencia #tendance #mati_famiily #chicken #poulet  ,09-11-2022
7116602366882761728,Fija hay algun@s hahaha🤣 #Esposa #Millonaria #Billionaire #Cough #Sick #Smile #ForYou #fyp #Viral #xyzbca,04-07-2022
7114377782351727616,Bros chest is most definitely hurting #ITriedItIPrimedIt #ashleykeno17 #cough,28-06-2022
7030325968761801728,Don’t forget to drink it from bed time apparently it works! Try it #cough #coldweather #flu  #coldseason #sick #ill #notyum #ohwell #foryoupage #viral,14-11-2021
7168020279229254656,"It is her vibe🤩 for me😁, What about you? #atifthegr3at #cough #trending #fyp #zanzibar ",20-11-2022
7268481764098575360,"If you want to get rid of mucus, coughing, sinus issues etc.. mullein along with other herbs will help clear out and ease any inflammation in your respiratory tract! Our breathe is available on tikton shop now! #mullein #mulleinleaf #mucus #asthma #cough #sinusrelief #lunghealth #coldandfluseason #coldandfluremedies #mucusrelief #fyp ",18-08-2023
6980454142523362304,Srsly tho if you got #phlegm try this- loosens the goo right up. #cough #healthhack #gross #sry,02-07-2021
7295155551913266176,Thoughts from the ER #vape #vaping #smoke #health #healthy #tips #data #cigarette #asian #emergency #icotine #pack #cough #headache #relief #teeth,28-10-2023
7157250629356801024,"Please Take Some Seconds of your Time to Follow me on Ig Please 😭😭😭link on my Profile, @energydiva__ #fyp #viral #trending #energydiva #marysmart #xybca #xybzca #xybcafyp #xybcza #odoyewu #cough",22-10-2022
7155891780821470208,Cough ❤️#cough #sharoncmons1 #sharoncmons02 ,18-10-2022
7096572137070283776,Jeez @E4ma saved me 🥰 #fypシ #foryoupage #trend #viralvideo #teamsam🔥 #legwork #afrodance #afrobeats #dancechallenge #cough #coughing,11-05-2022
7138874246176033792,His reaction 🤣😂 #fypシ #foryoupage #trend #viralvideo #teamsam🔥 #prank #afrodance #afrobeats #dancechallenge #cough #coughing,02-09-2022
7173806025110195200,There’s a ton of viruses going around right now. These are the top 5 most common I’m seeing in the ER right now #virus #kids #parents #sick #ER #cough #Top5 ,05-12-2022
7182383801866406912,#Cough #Cold #Flu #ProductiveCough #Phlegm #Mucus #DryCough #chestycough #NowYouKnow #NoMoreYouKnow #Covid #FYP #ForYourPage #ForYou #Pharmacist #Pharmacistadvice #Bromelain #Pineapple #PineappleJuice #HealthTip #Mucinex #CoughSuppressant #Humidifier #HealthTips #Medicaltip ,29-12-2022
7296275766763981824,#vicksvaporub #camphor #Chestcongestion #Cough #ProductiveCough #Pharmacistadvice #hack #Healthhack #Medicalhack #FYP #NowYouKnow#FDARecall ,31-10-2023
7308846926177340416,#ProductiveCough #DryCough #ChestyCough #Chestcongestion #Congestionn #Phlegm #CoughRelief #CoughRemedies #flu #Cold #NowYouKnow #Themoreyouknow #FYP #ForYourPage #ForYou #pharmacisttadvice ,04-12-2023
7310793872781741056,#carbocisteine#coughremedy  #productivecough#pharmacist #pharmacytechnician🙅🏻‍♀️💊  #pharmacistiktok #druginfo #pharmacylife#educationalpurposes ,10-12-2023
7224878985535261696,#kellyripa #regisphilbin #regisandkelly #ourdailyripa #productivecough #feelingtrapped ,22-04-2023
7194058934531968000,A cough is a reflex action to clear your airways of mucus and irritants such as dust or smoke. Most coughs clear up within 3 weeks and don't require any treatment.  #coughs #medicine #doctor #explained #drycough #wetcough #productivecough #copd #pneumonia #bronchitis ,29-01-2023
7078141670801411072,KAHAK ATAU KERING? #batuk #drycough #productivecough #foryou,23-03-2022
7236107495079513088,"Replying to @user5778724319962 Productive/wet/Fleming/mucus/phelgm/congestion cough.  3 tbspoons raisins Soak them in warm water for 10 minutes.  Remove water.  Crush or grind to make a paste.  Add 1 tbspoon honey. Mix is ready.  Take 1/2 tbspoon 3 times a day. This paste can be used for 1 day. Meaning for best results, use freshly made daily.  🧡🧡 #homeremedy #cough #wetcough #productivecough #phelgm #raaniskitchen #ayurvedic🌼🍵🎶 #foryou #fypシ #mucus #raisins #honey #herbal #congestion ",22-05-2023
7285023290333219840,@RphAdnanQayyum #hylixia #drop #searle #ivyleaf #productivecough #sputum #cough #childcough #kid #kids #kidsoftiktok #kidstiktok #kidsbelike #infant #infants #neonates #coughing #coughingandwheezing #nonproductive #viraltiktok #trendingvideo #trendingsong #trendingtiktok #virall #viral_video #viralpage #viralpage #viralvideos #ukraine #ukcomedy #usa_tiktok #dubai🇦🇪 #dubai #usa🇺🇸 #fyp #fypシ #fypシ゚viral #fypage #fypdongggggggg #for #foryou #foryoupage #plz #grow #new #news #1millionaudition #1million ,01-10-2023
7313180937712356352,"#drycough #cough #productivecough #cough,#pharmacology #video #trendingvideo #viealtiktok #trendingtiktok #foryou #foryou ",16-12-2023
7180403212279729152,Checking in #checkingin #update #rsv #sickness #compromisedimmunesystem #feellikedeath #unwell #chronicillness #chronicpain #chronicfatigue #hEDS #ehlersdanlos #issueswithmytissues #POTS #posturalorthostatictachycardiasyndrome #autonomicdysfunction #dystonia #fibromyalgia #bloodsugar #prednisone #albuterol #breathingtreatment #spoonie #spooniesoftiktok #sicktoker #december #HolidayOREOke #fyp #fypシ #foryou #foryoupage #trending #viral #healing #healingjourney #healingfromhome #respiratoryillness #protectyourhealth #lunghealth #productivecough #christmas #jesus #jesusisthereasonfortheseason #jesusistheultimategift #doyouknowhim #faith #god #godisgood #merrychristmas ,23-12-2022
7195553867914824704,#newfiegirl#productivecough#pissed ,02-02-2023
7147993414313839616,Replying to @MDC  Follow for more health tips! #productivecough #health #healthtips #homeremedies  #pharmacytips ,27-09-2022
7262513311906860032,Dh-cof_syrup #productivecough #nonproductivecough #cough #coughcold #ayurvedalifestyle #herbalproduct🌿 #herbalsmedicine #herbalife #tiktoknepal🇳🇵 #tiktoknews #foryoupage #fypシ゚viral ,02-08-2023
7197836016756018176,"Medwin Clinicians  Did You Know!!! Understanding Bronchitis: A Tree Analogy Get to know your lungs! Find out what happens when bronchitis, an inflammation or infection of the lining in the tubes of the lungs, takes hold. Visualize it like an upside down tree, with the trunk of the tree representing the trachea, and the branches representing the bronchiole. Don’t let it become too productive and lead to a buildup of mucus and can interfere with normal breathing. Bronchitis can be caused by viruses, bacteria, or other irritants such as pollutants or dust. Treatment for bronchitis depends on the severity of your condition and the cause. Some cases may require medication and lifestyle modifications including avoiding irritants such as smoke or pollution. If the cause is determined to be a virus, antibiotics may not be necessary as they are ineffective against viruses. Although bronchitis can be a serious condition, it is usually treatable. By talking with your doctor about your symptoms and following their advice, you can help ensure that you don’t develop any long-term issues from bronchitis. ———————————————————————— 🏡 4850 W oakland park blvd, Ste 224. Ft Lauderdale FL 33313 🏡 175 SW 7th St, Ste 1511. Miami FL 33130 🚪 Open M-F 8:30am-4:30pm ☎️ 954-835-5863 📧 Medwinfl@Medwinclinicians.com ———————————————————————— . . #bronchitis #lungs #inflammation #infection #mucus #productivecough #respiratoryhealth #breatheeasy #bronchitisasthma #lung #lungs #lungsofsteel #wheeze #wheezing #bronchodilator #lunginfection #antibiotics #medwinclinicians ",08-02-2023
7251916564465847296,Dekha Herbals Respocare Syrup #productivecough #nonproductivecough #bronchitis #spasmodiccough #neoaltiktok🇳🇵🇳🇵 #goviral #tiktoknepal,04-07-2023
7179020705974078464,Please share what works for you 🙏 #immunecompromised #onionsinyoursocks #onionremedy #commentyoursuggestion #coldremedies #fluremedy #howtogetoveracold #getwellsoon  #sick #rsv #flu #congestion #productivecough #winterseason #winterscaries #coldandfluseason #coldandfluremedies ,20-12-2022
7287235828634487808,#cough#babycough#kidscough#toddlercough#kolle#flu#fyyp#fy#mginfo2023#keshillatevlefshme#viral#pharmacist#snailextract#grindelia#honey#ribes#drycough#productivecough,07-10-2023
7252486943332682752,#wetcough #productivecough #herbs #selftreat #lomatium #lomatiumroot #sunsensitivity #cough #bronchitis #lunghealth #mymedswork #NIH #PubMed PMID: 29796156 #antiviralherbs ,05-07-2023
7243363810029898752,Why smokers have mucous build up and chronic cough Smoking health hazards  سگریٹ پینے سے صحت کے خطرات #smokerscough #smokinghazards #smoker #productivecough #lungcancer #fypシ゚viral #pakistani_tik_tok #tiktokhealth #cigarrete #سگریٹ #stopsmoking #womenhealth #menhealth ,11-06-2023
7220706077162163200,"In this video, we'll be discussing the different types of cough and what they might indicate about your health. We'll cover dry coughs, wet coughs, productive coughs, non-productive coughs, and more. Whether you're experiencing a persistent cough or just curious about the different types, this video will provide valuable information on what to look for and how to manage your symptoms. Hashtags: #CoughTypes #DryCough #WetCough #ProductiveCough #NonProductiveCough #PersistentCough #CoughSymptoms #CoughRelief #HealthTips #MedicalAdvice #Wellness #HealthAndWellness #HealthyLiving #HealthEducation #StayHealthy",11-04-2023
7299167381362920448,الادويه الامنه خلال فترة الحمل | Part (5) علاج الكحة الناشفه والكحه ببلغم خلال فترة الحمل #Dr_Hoda_Elhanafy #pregnant #pharmacist #Pregnancy_drug #pregnancy #pregnantlife #Cough #dry_cough  #drycough  #drycoughtreatment  #wetcough  #wetcoughtreatment  #productivecough  #nonproductivecough  #productive  #nonproductive ,08-11-2023
7312083082553723904,best cough syrup #productivecough  #parxysmalcough  #drycogh  #dr  #pharmd  #unfreezemyacount  #digitalhealth ,13-12-2023
7300750266482035712,#PondsAndPuddles #HouseOfOrganizedConfusion #Illness #Immunesystem #Fibromyalgia #Strep throat #ProductiveCough #NotCovid #GiveMeABreak ##AreYouSerious,13-11-2023
7105767282403560448,Sunday Part1 #backdeck #flowers #stoneplanters #wroughtiron #covidchronicles #sick #freshair #backtobed #productivecough #important #doublevaxxed #doubleboostered #lovebug #thankyou #mad #today #over50,05-06-2022
6935409181432286208,#flu #fluremedies #productivecough #delsym #mucinex #cough #covid19 #drugstore #pharmacists #educational #practicalknowledge,03-03-2021
7215981435813923840,Drugs For Cough.  Click the link to watch complete video.  #cough #productivecough #foryou  https://youtu.be/MwmeLxXLBV4,29-03-2023
7254593450488925184,We needed an IV and some antibiotics 🙌🏾 seeing blood gets me nervous. 5 different doctors listed to my lungs #wow    #coughwithphlegm.. #pregnancyjourney ,11-07-2023
6869177021361179648,this is a #fever #dream✨😍,06-09-2020
6982754903823240192,두 눈👀 감아버리면😌 사라지는💨 세상🌐 얍!#예지 #류진#얍챌린지 #얼음깨챌린지 #BreakIceChallenge#2021년을잘보내는방법 #얼음깨 #BreakIce#다비있지 #둘째이모김다비 #ITZY #있지#VIVOTV #비보 #FEVER #피버뮤직,09-07-2021
7050038190542949376,#fyp #lagnat #fever #amazing #ayawkona #withthetasteofyourlips,06-01-2022
6999928381903031296,Reply to @athirah_army here’s the note [ ib: @f4iryzi ] #enhypen #fever #fypシ #fypage #zyxcba,24-08-2021
7164830387263360000,#stitch with @stephiealyssa #fy #fyp #foryou #foryoupage #baby #babyfever #fever #business #suit #businessman #money #bank #account #bankaccount #whiteboard #you #invest #investment ,11-11-2022
7103340935743851520,Ibuprofen or acetaminophen? Here’s a run down #pain #harrystyles #fever #muscle #pharmacy,30-05-2022
6997064474142313472,Ah! #enhypen #fever #kpop #kpopkaraoke #kpopkaraokechallenge,16-08-2021
6964588386669710336,Why didn't I notice this when the track released 😀 #enhypen #engene #FEVER #bordercarnival #niki #riki #kpop #fyp #fypシ #🐆,21-05-2021
6978542526533831680,🧡🖤#enhypen #fever #engene #fypシ #janganlupabahagia,27-06-2021
7260872237731924992,this girl representing all of us💁‍♀️ #enhypen #heeseung #lee #fever #rkvz ,28-07-2023
6978948721966910464,Krkrk je dérangeais fort pendant le tournage de @highercrew 🤭soon… #enyphen #fever #dance #kpop #dancecover #asian #foryou #fypシ #behindthescenes,28-06-2021
7065673096702757888,jay adalah aku ketika dengar lagu fever😂 #jay #jayenhypen #fever #enhypen #fyp,17-02-2022
6979169963609164800,this is a highly requested dance cover and i- wassoscaredtodothisdancecoveraHHHH @enhypen #enhypen #fever #엔하이픈 #engene #kpop #kpopfyp #추천,29-06-2021
6975918749027273728,💕 @enhypen #fyp #pourtoi #fever #enhypencover #enhypen,20-06-2021
7048622438141250560,БОЖЕ МНЕ ТАК НРАВИТСЯ АЭАЖПХКЖАБПЬЫДЬК #fyp #foryourpage #bpmamoitzytw #redlights #lion #fever,02-01-2022
7226330807550397440,LIKE A FEVER FEVER FEVER FEVERRRR #fever #enhypen #kpop #engene ,26-04-2023
6982914167053290496,‘얼음깨’ MV 따라하기 얍~!!같은 가사 다른 상큼함여기에 모두 있지🤗#얍챌린지 #얼음깨챌린지 #BreakIceChallenge#2021년을잘보내는방법 #얼음깨 #BreakIce#다비있지 #둘째이모김다비 #ITZY #있지#VIVOTV #FEVER,09-07-2021
7208862745301715968,Anna's birthday party.#frozen #fever #elsa #anna #kristoff #tiktok ,10-03-2023
7006323657064614912,thank u so much for filming @suluniee! 🥺💞 @enhypen #kpop #enhypen #fever   #kpopinpublic #kpopdancecover #kpopfancam,10-09-2021
7201470205187443712,I want to see this in real life fr | #enhypen #NIKI #fyp #fypシ #foryou #engene #xyzbca #fever #viral #ni_ki #niki ,18-02-2023
7004084290023656448,#enhypen #kpopfyp #fever #smule,04-09-2021
7004755287366290432,Reply to @s_kkhu wear headphones 🎧 #enhypen #fever #lyrics #fypシ #neon #dark #kpop,06-09-2021
6969268182649555968,yes?? #ni_ki#enhypen#enhypenedit#nikienhypen#enhypenniki#niki#nishimurariki#riki#enha#engene#fever#enhypenfever#nikiedit#kpop#kpop#kpopedit#fyp#foryou,02-06-2021
7260805305137630208,Lord ganito ka po pala sa iba 😭🖤 Paradoxxx+ Bite Me + Tamed-Dashed + Fever + Polaroid Love #enhypen #schoolattack #fyp #paradoxxxinvasion #biteme #tamed_dashed #fever #polaroidlove ,28-07-2023
6917338775534324736,Thoughts from the ER #fever #hawt #little #medicine #wait #parents #measure #feel #accurate #hospital #mouth #nurse #doctor #emt #paramedic #sick #be,13-01-2021
6765827982624869376,여러분들의 뜨거운 사랑에 보답하여@강시원Xiwon  님과 함께 달아올라! ♡_♡#FEVERchallenge #JYP #박진영 #JYPark #FEVER #thatssotiktok #foryou,02-12-2019
7107668487408995328,Im moving to Greenland for the summer xxx #JDSummerDrip #fyp #keflafod #summer #hotweather #hightemperature #uk #ihatesummer #hayfever #pollen #cantsleep #england,10-06-2022
7111765135605222400,@maciekocotuchodzi #1.9tdi#tdipower #ford#galaxy#motor #enginekaputt #hightemperature #motorshaden #laweta#work#warsztat#zepsute #patosruba,21-06-2022
