tweet_id,user_id,username,post,date_created,lat1,long1,lat2,long2,lang
1768080448649900038,138156454,hexpunk,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T01:03:22.000Z,,,,,en
1768080432745107754,731201958,Pockuss,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T01:03:19.000Z,,,,,en
1768080385169072495,1343348531445329920,derekedwards827,"@RowlandRIVALS @NWAHutch (Cough, cough) COACHING! (Cough, cough)",2024-03-14T01:03:07.000Z,,,,,en
1768080372775235745,301249952,JuicyDusi,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T01:03:04.000Z,,,,,en
1768080341590319167,1706255030506881024,Kit_kat55357,@ShitpostGate *Cough* Obi Wan,2024-03-14T01:02:57.000Z,,,,,en
1768080307738083619,3438930980,Combat__Frog,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T01:02:49.000Z,,,,,en
1768080284182888827,910311446621208576,itsgeobruh23,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T01:02:43.000Z,,,,,en
1768080280219496528,1648989386221178882,thanakit0423,RT @suria_KR: Day 4 = Bangkok I started cough and sore throat since day 1 and it getting not comfortable now. I have fever and will just re…,2024-03-14T01:02:42.000Z,,,,,en
1768080234895536273,952393357464100864,imorganmarshall,"It's called taking the high road and doing the right thing cough cough #twipper #x #apple #tesla, so many companies can learn from #meta! https://t.co/VoJ31hSx5B",2024-03-14T01:02:31.000Z,,,,,en
1768080204587516384,1579297927285047296,Sau1Goodman1,"@WalterWhite_58 @zrd92490 @Zuby_Tech Oh no they canceled some garbage games, what ever will we do with quality control. Lmao who gives a sht, there’s still tons of games in the pipeline 1st, 2nd, &amp; 3rd party. Maybe other publishers should take notes &amp; cancel games instead of scamming their playerbase *cough* Redfall",2024-03-14T01:02:24.000Z,,,,,en
1768080196551524412,945769138701643777,MikeCiporkin,I’m a voice actor. Of course I read video game subtitles out loud whenever the game doesn’t have voiceover. *cough* Pokémon *cough* https://t.co/DRX8ujXOIz,2024-03-14T01:02:22.000Z,,,,,en
1768080184068976939,232273359,SmashBro__1,RT @creepydotorg: Ingredients of “One Night Cough Syrup” manufactured in late 1800s. https://t.co/zwF9NaSQJU,2024-03-14T01:02:19.000Z,,,,,en
1768080182898762197,1594831555700170773,S4saud56,Cough syrup &gt;&gt;&gt;&gt;Charas 💀,2024-03-14T01:02:19.000Z,,,,,en
1768080145284296735,61260789,TheNotoriousJWM,@vanburenboys9 @jon_w_chapman @ricburton @AValdes72877489 @offlinehacker Cough up the info buddy,2024-03-14T01:02:10.000Z,,,,,en
1768080118470365277,1714952960109932544,CastrolFuel,@six_harley @MattGurchenko @KennethJoh52154 @CBarrabran @PredatorHunta3 @angusjonno @DuchessMcQueen @angusjizzpants @TheRealSlav59 @PredatorHunta1 @RitaPanahi @Coopersfleas @yousuckaaron @adrianarentfree @GigantoorJ @TheSlav59 @TerraceDamo @MadisonMissing @Adrian_Beaky @CFMEU @TickTockGone @mareeeeeee6 @Gigantoor @JetTeans @Gigantoor2 Cough Cough #AdrianaCorfe https://t.co/YILbap9FZC,2024-03-14T01:02:04.000Z,,,,,en
1768080098668708338,437198484,AyyZay,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T01:01:59.000Z,,,,,en
1768080083531547127,2596843171,CharlesforShort,@BrandonDonkey2 You want better service? Cough it up. https://t.co/bpTmwoIWfZ,2024-03-14T01:01:55.000Z,,,,,en
1768080034474885449,440341330,1903wrightflyer,"RT @skirri: @LibDemPatrick @mryoung151 I had Cov¡d in December. (Tested p0sitive for 15 days!) Since then, I've taken antib¡otics twice for…",2024-03-14T01:01:44.000Z,,,,,en
1768080030419030399,746591688,whisd0m,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T01:01:43.000Z,,,,,en
1768079977084551258,623938460,eatonhamilton,"Neighbour who was sick when I moved here in Oct is still sick, still with the cough THAT WON'T DIE. I gave them respirators, but I don't know if they used them.",2024-03-14T01:01:30.000Z,,,,,en
1768079971606769880,1418751500344389632,SIMONE448710381,RT @clairethelot: *cough loudly* #SaveShadowAndBone #SixOfCrowsSpinoff #KorolRezni https://t.co/vOII6uwK1i,2024-03-14T01:01:29.000Z,,,,,en
1768079961909235732,1511874322859757576,chubbycox911,"@AndrewRiffe1 @CelticsUnite18 @Rookiedunker Odd how it happens to every player when they come to Boston.. (cough cough Jrue, Al, white)",2024-03-14T01:01:26.000Z,,,,,en
1768079957497094488,1133204522585604099,ModManAwesome69,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T01:01:25.000Z,,,,,en
1768079946503643273,1721584968424361984,doecalories,he will begin to cough in 10 minutes https://t.co/AJlrg0FMjG,2024-03-14T01:01:23.000Z,,,,,en
1768079946453274760,1419153215610884098,roastybeanwater,i love when i’m smoking and i cough so hard it becomes concerning,2024-03-14T01:01:23.000Z,,,,,en
1768079919626543119,1377795765649686528,Playtendoh,"LILL HEALTH UPDATE 📈: I'm feeling somewhat better again, just a few headaches and a cough. 🥹 I guess I'll be able to start creating content again next week. 🤞 https://t.co/7b71LidtP3",2024-03-14T01:01:16.000Z,,,,,en
1768079892720058578,3138657423,Lordoomer,RT @2HeadedHero: ~cough cough let's try this again~ Goblins Never DIE Steam page is live! Wishlist HERE: https://t.co/12RqR8EUrS FEATURES:…,2024-03-14T01:01:10.000Z,,,,,en
1768079878744670622,1723044682224029697,Endermanpro200,@LeftyAndOthers @TheMangledOne Cough lefty remember last time you said I found your wallet..,2024-03-14T01:01:07.000Z,,,,,en
1768079778136113614,1286616962114691072,GlowDonk,@front_ray I'm more of an Xbox Avatar guy *cough* https://t.co/XLtQPoT4JK,2024-03-14T01:00:43.000Z,,,,,en
1768079741448253487,939211154,thesambipat,Are you disappointed with the #Oscars2024 ? Do you feel like there are SO many movies that got snubbed overall? *cough cough Horror films for instance* Check this out! I’m throwing the 3rd Edition of the Torn Apart Awards! 🐥 🔗 Link Here: https://t.co/WcUTjLz5OD https://t.co/wAwMzplIEy,2024-03-14T01:00:34.000Z,,,,,en
1768079687605965159,2157416116,glenc1983,"@lfc_arrow You in ten years, hint the blonde with the black dress..irish girl man's name cough cough....",2024-03-14T01:00:21.000Z,,,,,en
1768079668744479108,1589447362832846848,subhasep27,"Balances: Kapha, Vata dosha PH in the stomach &amp; intestine.Good for: Gums, mouth, throat &amp; stomach. Treating: Cough, bloating, swelling of vocal cords, oral cavity, tastelessness, bad breath &amp;amp; inflammation. https://t.co/9inXRwGRSR",2024-03-14T01:00:17.000Z,,,,,en
1768079664654795105,1401872286928584707,swordsfaire,DOJIMAS COUGH AT THE END IS SENDING ME https://t.co/uRSkhnecBl,2024-03-14T01:00:16.000Z,,,,,en
1768079646422147123,923028265241104384,adammcco27,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T01:00:11.000Z,,,,,en
1768079637958066607,1516629450191945737,quirkykelly16,@haileyhaileyy0 @telltalerva not frozen cough medicine ☠️,2024-03-14T01:00:09.000Z,,,,,en
1768079627262525675,1323391708332216323,AWADEUW93221760,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T01:00:07.000Z,,,,,en
1768079571134402820,1692250536,Se66fae,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:59:53.000Z,,,,,en
1768079523164139882,1284239059519496195,Peter9mm,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:59:42.000Z,,,,,en
1768079485579001948,1708700873486901248,thepiedpooper,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:59:33.000Z,,,,,en
1768079477165187389,1396118393661452289,tempestimony,"@NyaPfanner TY. Yep. And it was whooping cough I had, so be careful Folks. Usually kills Srs.",2024-03-14T00:59:31.000Z,,,,,en
1768079454360727599,39785702,TheJJohnsonTV,@Deacons1023 You feeling a “cough” coming on??? Feel like we need to give out some excuse me from work passes,2024-03-14T00:59:25.000Z,,,,,en
1768079407162241289,2188181704,Willietoodope,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:59:14.000Z,,,,,en
1768079332365258877,1192293340722581505,xFutureWhalex,@hash_cough Avax has no chill,2024-03-14T00:58:56.000Z,,,,,en
1768079320717643876,1579631642800521216,BRONTOTITAN101,"-yes, a lot of them were stylized and quite a bit of them are inaccurate now but they at least tried which is something you cannot say for most modern media with dinosaurs {COUGH COUGH 65 COUGH COUGH} so yeah also @cmkosemen, i wanted to talk about how ridiculous these-",2024-03-14T00:58:54.000Z,,,,,en
1768079301323129148,1203823654842327041,IamLaLunaa,@PRADAXBBY *cough* @Aromaa__ *cough* 🥰😌🥺👉🏼👈🏼,2024-03-14T00:58:49.000Z,,,,,en
1768079247166631954,728011843,Ghaz__,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:58:36.000Z,,,,,en
1768079210394865801,1206621658502586368,ashleyfa___,"The way I’m going to OD on allergy medicine when i get home is not even funny. The amount of snot I have released today is ungodly. In addition to my itchy ass throat and dry cough, i just simply cannot deal.",2024-03-14T00:58:27.000Z,,,,,en
1768079209900191932,2464145293,MFD00MAVIN,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:58:27.000Z,,,,,en
1768079175212995002,1713045443922292736,mingis_lover,"@no1slaytiny uhmm maaaaaaybe Mingi,but idk how he feels abt mixed chicks(me cough cough) but that's it?? possibly San and Hwa but otherwise idk😞😞I'm not really anyone's type ig",2024-03-14T00:58:19.000Z,,,,,en
1768079169387155949,1350873374344536076,Yombo__,This cough has taken my voice 😔 I come Dey sound like osanyin 😭😭😭😭,2024-03-14T00:58:17.000Z,,,,,en
1768079154522833151,1272215274389860353,infinitycryy,Back from Japan for a week but my cough isn't getting better 😭,2024-03-14T00:58:14.000Z,,,,,en
1768079138437444051,423966379,Potomacbeat,@lepke2112 @GovRonDeSantis @Global_Occupant @BLH4House @levinforpres *cough again* Can do it to Aaron Rodgers too. If you don't push back against the gaslighting none will be safe. https://t.co/Kb05dcLo2s,2024-03-14T00:58:10.000Z,,,,,en
1768079095265628441,1679898600997027841,The_Ferginator2,@JohnFred488447 @kkitch1984 @OliLondonTV Far cough.,2024-03-14T00:58:00.000Z,,,,,en
1768079076277825640,835263026529972224,wendypink224,Your great-granddaddy’s cough syrup. https://t.co/xMGlvHg8TY,2024-03-14T00:57:55.000Z,,,,,en
1768079054350008498,1734694339111190528,hidden56246,"If the legal immigrants on Ellis Island had so much as a cough, they were rejected. They weren’t coming in here with aids and measles and all the other bullshit that we’re getting from the third world shit holes like Haiti South America, all the scum of earth https://t.co/JOeyLX4yso",2024-03-14T00:57:50.000Z,,,,,en
1768079027951051016,1700282066942767104,lumity970620,RT @bitchy_houndz: *loona looks at her target after hearing a cough* Ugh...your still alive!? [Art by Fugubarakun] https://t.co/Ss9whO8b4f,2024-03-14T00:57:44.000Z,,,,,en
1768079007013077383,1691611444226187265,WillB7912422890,@mk_indy Anti Vaxers..wow. Do we have our own protected class now dipshit? Come up close and let me cough on you.,2024-03-14T00:57:39.000Z,,,,,en
1768078981423608097,224402710,alexkrimson,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:57:33.000Z,,,,,en
1768078979800641604,1319079994753048576,zpiderholland,RT @spideyy_ven0m: *Cough Cough* https://t.co/DZ2VwnOG4i,2024-03-14T00:57:32.000Z,,,,,en
1768078885806084202,2195786237,Koaalaa24,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:57:10.000Z,,,,,en
1768078847503663411,1323382334,LinzNicole,we'll try again tomorrow and hopefully my cough won't be as bad!🤸‍♀️,2024-03-14T00:57:01.000Z,,,,,en
1768078765546942806,37529237,Batman_Infinite,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:56:41.000Z,,,,,en
1768078743740772394,2460423636,SolHymn,"RT @Megaflare08: Ana the Hedgehog owns a food truck that sells burgers, fries, cola, ice cream, *cough*spy weapons*couple*, and tacos! http…",2024-03-14T00:56:36.000Z,,,,,en
1768078695305019531,798862990976098304,curlyloccsz,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:56:24.000Z,,,,,en
1768078663755641262,1442343367694712833,Lazuzurite,RT @Eavenne: All of his internal organs are diseased 9 out of 10 doctors would be dumbstruck im sorry for making you sprint in the desert…,2024-03-14T00:56:17.000Z,,,,,en
1768078657371639885,46995088,waco_warren,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:56:15.000Z,,,,,en
1768078607551803890,1337182734654066690,FreedomCat14,"RT @kristenmag: Four years ago today, I let out the tiniest, single cough while standing in line at the post office. Multiple people turned…",2024-03-14T00:56:04.000Z,,,,,en
1768078589096767781,1492356653471211520,FERR0D__,@TB1Kinobe *Cough* Don't you mean silver shoes...,2024-03-14T00:55:59.000Z,,,,,en
1768078582230696414,1323382334,LinzNicole,might not stream tonight like i wanted to!☹️ going to rest my voice and let this cough medicine take me to sleepytown!,2024-03-14T00:55:57.000Z,,,,,en
1768078557023007153,1430107235284365315,_ProtocolPolice,RT @creepydotorg: Ingredients of “One Night Cough Syrup” manufactured in late 1800s. https://t.co/zwF9NaSQJU,2024-03-14T00:55:51.000Z,,,,,en
1768078463775440936,1455684194,Vatru12,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:55:29.000Z,,,,,en
1768078455466508374,1499622845059534850,ShreeBidari,@Its_karishma Dry cough le hola herbal medicine linu,2024-03-14T00:55:27.000Z,,,,,en
1768078418590028221,706650356323786753,DACS_0101,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:55:18.000Z,,,,,en
1768078355231064408,1506510508970504194,Scones29962620,"RT @kristenmag: Four years ago today, I let out the tiniest, single cough while standing in line at the post office. Multiple people turned…",2024-03-14T00:55:03.000Z,,,,,en
1768078334544470182,1277268705425199104,ChezGwop757,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:54:58.000Z,,,,,en
1768078319701156179,918244698468204545,WaffleusRex,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:54:55.000Z,,,,,en
1768078240244199742,934759802886021120,Maggie_Sunflowe,@lauren_vasiliou Had to go on my back up account to repost this because @emrazz has me blocked on this account. She’s a so called cough feminist 🤬💓,2024-03-14T00:54:36.000Z,,,,,en
1768078212750332388,1348444005886013441,rpblcifucankpit,"RT @kristenmag: Four years ago today, I let out the tiniest, single cough while standing in line at the post office. Multiple people turned…",2024-03-14T00:54:29.000Z,,,,,en
1768078130353189034,20262279,itshamhocks,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:54:10.000Z,,,,,en
1768078088930230373,1323776725248057345,ajadii_s,RT @creepydotorg: Ingredients of “One Night Cough Syrup” manufactured in late 1800s. https://t.co/zwF9NaSQJU,2024-03-14T00:54:00.000Z,,,,,en
1768078063395336463,1197105417354121216,E___N4322,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:53:54.000Z,,,,,en
1768078041593324001,1586054413701054465,Doc_Brown_69,RT @creepydotorg: Ingredients of “One Night Cough Syrup” manufactured in late 1800s. https://t.co/zwF9NaSQJU,2024-03-14T00:53:49.000Z,,,,,en
1768078039731048858,1001148160209760256,lxxxar,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:53:48.000Z,,,,,en
1768078038489616665,1557888707679735809,wisegirlvaldez,RT @percysion: “when i pat my knee twice we cough” https://t.co/aaSUuKCbEb,2024-03-14T00:53:48.000Z,,,,,en
1768077974492819717,1582556030743052290,Robin__Willis,@thellconicstuds *cough*,2024-03-14T00:53:33.000Z,,,,,en
1768077971716534669,196465711,shambrookben,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:53:32.000Z,,,,,en
1768077962446860490,19888766,DrSamiraJeimy,"Thanks for having me on to speak on measles! I had a vaccine preventable illness as a child (whooping cough). And these topics hit very, very close to home. https://t.co/Y7nlJcjhn4",2024-03-14T00:53:30.000Z,,,,,en
1768077910848467006,1731071268424757248,FakeZego,"@BatterSap I'm positive you're gonna do great, even if you're sick. A little shitty cough ain't gonna stop you, duh",2024-03-14T00:53:17.000Z,,,,,en
1768077845660655835,1696001443487154176,StarchaserHooT,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:53:02.000Z,,,,,en
1768077844574589392,762007600741228544,EpicRooster0493,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:53:02.000Z,,,,,en
1768077844238766447,1438378027868639232,reakenvirge,Kylie u will start to cough in an hour. YOU CANT KEEP PLAYING W MY SCISAAC HEART LIKE THIS STOP https://t.co/3ZQ3ddyfZd https://t.co/rOpXPkPVzc,2024-03-14T00:53:02.000Z,,,,,en
1768077793810620786,1587260506909335552,BronxJonze,@imnotjuIes Cough Cough Anya Taylor Joy Cough Cough,2024-03-14T00:52:49.000Z,,,,,en
1768077760809877815,2889700426,JayyWrlddddd,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:52:42.000Z,,,,,en
1768077748487237997,1687083036138221568,MaggieMoo6299,@emrazz Are you and your cough so called feminists loving this?. 🤷‍♀️ https://t.co/GPsMKntJ1O,2024-03-14T00:52:39.000Z,,,,,en
1768077684721230193,1232685899705487360,Annette75878425,"RT @skirri: @LibDemPatrick @mryoung151 I had Cov¡d in December. (Tested p0sitive for 15 days!) Since then, I've taken antib¡otics twice for…",2024-03-14T00:52:23.000Z,,,,,en
1768077601296257216,1358696690174332928,Magixo_,@IM_SO_GAYYYY *cough cough* my sister *cough cough* (But seriously it's only the toxic and rude ones. The nice fans/stans are okay 🫶),2024-03-14T00:52:04.000Z,,,,,en
1768077596309221678,1624168132678934529,Miles329397111,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:52:02.000Z,,,,,en
1768077583873343642,1088998854211469313,AfterSylb,RT @wishyouIuck: cough https://t.co/Mgop8oQW4n,2024-03-14T00:51:59.000Z,,,,,en
1768077551308616007,1390112869371584514,Exio_xd,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:51:52.000Z,,,,,en
1768077465488863460,1051143136213434370,bot_shape,RT @benmekler: Stop mid-sentence to cough really weird while hammering my chest,2024-03-14T00:51:31.000Z,,,,,en
1767997984942248002,1267288314610102273,numabaybee,"People who smoke burn off the cilia in their trachea. The function of the cilia is to remove phlegm, so without these hairlike features to move it out, smokers end up with a perpetual cough that they can never get rid of. Worst cases can even be bronchitis",2024-03-13T19:35:42.000Z,,,,,en
1767933287647920544,543814633,T_Zanini,"@jjcouey @HousatonicLive @Wood_House76 This would be consistent with the various stories of ""dry lungs"" scans and reports of shortness of breath in absence of cough and / or phlegm on NIV in early 2020",2024-03-13T15:18:37.000Z,,,,,en
1767869331013005329,825605461525331968,kakashiulislam,"@afkaaruha laryngitis/bronchitis, you should keep it to hot tea with honey but if the cough is that annoying you should try something over the counter that has guaifenesin and/or dextromethorphan in it, if the cough is still bringing up phlegm after 2 weeks you probably need an antibiotic",2024-03-13T11:04:28.000Z,,,,,en
1767671021224742971,1564429731520344065,truepsilon,"Yesterday had a fever and some phlegm, alright, ate some paracetamol and drank a ton of water ...I made the mistake of trying to cough too much, and just woke up with a massive sorethroat hit, WITH fever Great",2024-03-12T21:56:27.000Z,,,,,en
1767670556193886571,232871846,nuratikalee,I’m struggling with minor cough And phlegm since November. On and off with meds. Sahur pun on meds. Dizzy 😵‍💫 anyone ada tips for phlegm yg degil?,2024-03-12T21:54:36.000Z,,,,,en
1767666050529743019,879361446,FFredwrites,@jonathanbailor I had argued with my doctor decades ago when deeply coughing up massive phlegm—his X-ray proved sinus infection that antibiotics cleared up in days. Sinus drainage had been filling my lungs and producing a nasty 🤮 cough that I was sure to be bronchitis. I was wrong. https://t.co/kczFi0ffRX,2024-03-12T21:36:42.000Z,,,,,en
1767641204559134779,373474581,Desszz,"@_LeratoMabuzaM if you have phlegm, drink a shot of vinegar, chase it with water. 5 minutes and 1 cough later gone. it thins and dissolves phlegm",2024-03-12T19:57:59.000Z,,,,,en
1767573350564655360,1644605705612312578,riinn420,@TsuMuChanGr I’m doing okay! Just started to cough this morning and developed some phlegm but keeping my fingers crossed that I’ll wake up completely normal tomorrow! I’m so done with how weak my immune system is(´･ω･`)ｲﾔｰ,2024-03-12T15:28:21.000Z,,,,,en
1767524814405648711,1467285112559648772,JennySh79231564,"@yodicholaverdad @WhatNowDoc Clear fluids are always best especially with respiratory problems. That said .. research has now changed opinion around milk,it does not increase the phlegm on your chest. Which being honest surprises me, it always makes me cough 🤧🤧🤒",2024-03-12T12:15:29.000Z,,,,,en
1767421601849467118,1598065295008169986,DogForFem,RT @Nina_Novakowsky: Morning cigarette with snorting hocking and spitting loogies and phlegm cigarette smoke spit cough snort throat mout…,2024-03-12T05:25:21.000Z,,,,,en
1767395095064592637,1359652540112076809,francophobicc,"@PhattieinPhilly this happened to me :/ but i had symptoms of flu with strep like phlegm cough, body aches, headaches, chills and fever",2024-03-12T03:40:01.000Z,,,,,en
1767321339998691334,1460861392437788674,RRXxmaxx,RT @Nina_Novakowsky: Morning cigarette with snorting hocking and spitting loogies and phlegm cigarette smoke spit cough snort throat mout…,2024-03-11T22:46:57.000Z,,,,,en
1767317994651160706,1310827729718251520,smoking_trap,RT @Nina_Novakowsky: Morning cigarette with snorting hocking and spitting loogies and phlegm cigarette smoke spit cough snort throat mout…,2024-03-11T22:33:39.000Z,,,,,en
1767311517207195935,4280712496,MTrebaldt,"@tennysonsarah1 @EAPoeEstNe19jan @HallattTrevor @ChrisBaronSmit1 Sorry to butt in, but I'd advise you to go to the hospital. 3 years ago, in April 21, I had a bad cough with phlegm for weeks and was out of breath. I ended up going to hospital, it was a massive pulmonary embolism. Please 🙏🏽 go see a Dr.",2024-03-11T22:07:55.000Z,,,,,en
