tweet_id,user_id,username,post,date_created,lat1,long1,lat2,long2,lang
1768079702399316076,1764385981090676736,mmmn916719,@ubo_mousa كذاب واهل تويتر عارفين انوه كذاب,2024-03-14T01:00:25.000Z,,,,,ar
1768077473034436892,830311916635639808,Official_Diner0,RT @NandosSA: Haibo? Uthini manimkhuza uBo? #ForRelativeStrangers https://t.co/MLfkAs6dsD,2024-03-14T00:51:33.000Z,,,,,sl
1768074220771361253,3232955976,aychichoo,hirap pala magpigil ng tawa kapag pumutok ubo ng student mo 😭😭😭😭😭😭 plssss,2024-03-14T00:38:38.000Z,,,,,tl
1768073243779580087,1015637825897656321,xzsdfgvhjkl,ubo ubo ubo,2024-03-14T00:34:45.000Z,,,,,tl
1768073225542730095,1482861016228663296,_debieness1,"Like thanos, naa pud koi gikolekta pero ang akoa kay kakapoy, sakit sa lawas, sipon ug ubo, kuwang sa tulog, kacrazyhon ug uban pa.",2024-03-14T00:34:40.000Z,,,,,tl
1768073044155871587,1316236966023720960,judasdyke,BOBO ma sugod ka ug ubo ugma https://t.co/TjRvuAl8ao,2024-03-14T00:33:57.000Z,,,,,tl
1768072574796280195,66371659,egoberville,RT @UMR_BOREA: Nous recherchons un.e candidat.e pour une thèse de doctorat sur l'Evolution multidécennale de la biodiversité benthique de t…,2024-03-14T00:32:05.000Z,,,,,fr
1768071788150522072,823509293685088256,marycrismalabag,"sana mawala na ubo ko, kakahiya na tumahol ng tumahol sa office 😩",2024-03-14T00:28:58.000Z,,,,,tl
1768067976341651532,733307372836425728,143322salman,وَيَخرُجنَ مِن مصطفى شعبان جَعدٍ ثَراهُ مُنَصَّبِ uBO,2024-03-14T00:13:49.000Z,,,,,ar
1768067122838597845,1701766395032170496,CruzCruz422986,@radioamericahn Y el caretillazo que si ubo evidencia Ese señor deveria estar tras las rejas,2024-03-14T00:10:25.000Z,,,,,es
1768067051900621260,1391665800470306817,ChrisMdaer12,"@NoticiasSlost Está apareciendo sesiones por sorpresa , por qué está ves no ubo api pero se ve que están llegando colaboración antiguas .",2024-03-14T00:10:08.000Z,,,,,es
1768065285217796499,1764102002026659840,kronumasawako,naputok ang ubo oi,2024-03-14T00:03:07.000Z,,,,,tl
1768065240833343569,1711298047831900160,naslalkiram,@ubo_mousa بني مالك ١٧ عينه زهران ٥٠ عينه غامد مدري بس قليله ومن عندي ٨ عينات,2024-03-14T00:02:57.000Z,,,,,ar
1768065087317660049,1262480593,LeeTshabalala_,RT @NandosSA: Haibo? Uthini manimkhuza uBo? #ForRelativeStrangers https://t.co/MLfkAs6dsD,2024-03-14T00:02:20.000Z,,,,,sl
1768064192475435252,1528829638146932739,almo3tamed,RT @Rakan_6461: @almo3tamed @ubo_mousa قلتها قبل و ارجع اقولها اليوم ال J1 لا يقبل القسمه على اثنين يا يكون عدناني كامل او قحطاني كامل وهذا…,2024-03-13T23:58:47.000Z,,,,,ar
1768063942603976953,1686074750328586240,Rakan_6461,@almo3tamed @ubo_mousa قلتها قبل و ارجع اقولها اليوم ال J1 لا يقبل القسمه على اثنين يا يكون عدناني كامل او قحطاني كامل وهذا الحل الوحيد لل J1 و ارجح انه عدناني اسماعيلي لوجود بني هاشم,2024-03-13T23:57:47.000Z,,,,,ar
1768063432035561601,1528829638146932739,almo3tamed,@ubo_mousa سؤال لواحد مثلى مايفهم بالجينات لواحد مثلك يالسبتى برفسور؟ كيف يكون l222 عدنانى وإخوانه by8 و4415 برا عدنان؟!!!!!!,2024-03-13T23:55:45.000Z,,,,,ar
1768063313886556483,1099849983593857024,mace_freenbeck,"@navi_meraki Get better soon na, wag ka na sanang magaya saaking 3 weeks ng may ubo at sipon🤧🤧",2024-03-13T23:55:17.000Z,,,,,tl
1768062484378726898,61485056,CrazyMz4Life,RT @NandosSA: Haibo? Uthini manimkhuza uBo? #ForRelativeStrangers https://t.co/MLfkAs6dsD,2024-03-13T23:51:59.000Z,,,,,sl
1768060444495978784,1482562605743210497,_PANcake_21,"Now, sakit kayong abaga and tibuok braso. Shet mura man ko gikan ga weights gahapon ba 😭 gahi pajud kayog ubo😭 https://t.co/3YqiMcqu43",2024-03-13T23:43:53.000Z,,,,,tl
1768060322152169736,238627277,PVerijke,"@vakbondABVV @NBB_BNB_NL Jullie hebben er uiteraard niets aan te zeggen. Gelukkig maar. Hoe zit dat eigenlijk met jullie miljarden in belastingparadijzen. Wanneer gaan jullie een rechtspersoon worden, open boekhouding, ubo register (wie krijgt wat geld?)",2024-03-13T23:43:24.000Z,,,,,nl
1768059754532786317,1499762202017947649,Alfred_tanque,RT @paola1364443: Mis amores estaré el viernes 15 de marzo en 🚇 DOCTORES Instalada con promo en trío y individual con @ULAM2023 @DaniSen…,2024-03-13T23:41:09.000Z,,,,,es
1768059295508164640,1411846487768711168,mdft26,@ubo_mousa سوال بري وعميق,2024-03-13T23:39:19.000Z,,,,,ar
1768057205893538017,1070717429863477248,Lemne5,Ka ubo man sad ta sa nag holding hands HAHAHAHHAHAHAHAHA,2024-03-13T23:31:01.000Z,,,,,tl
1768056526382530772,1325532711428083712,EmperadorFantas,"@Nyanyo_uwu JAHSJA sisi, se lo llevo a donde hizo el robo y lo obligó a disculparse y ya el pago por los daños si ubo JAHSJA ""Y no lo vuelvas a hacer por favor """,2024-03-13T23:28:19.000Z,,,,,es
1768053838811189531,955177644676599809,YoursTrulyRL,RT @NandosSA: Haibo? Uthini manimkhuza uBo? #ForRelativeStrangers https://t.co/MLfkAs6dsD,2024-03-13T23:17:38.000Z,,,,,sl
1768053525966110762,1515686972047736833,ArrochaAixel,@Cobre_Panama Ya ubo un fallo de la Corte Suprema de Justicia y un fallo del 90 % del pueblo .,2024-03-13T23:16:24.000Z,,,,,es
1768053047547031589,1759054792243154944,mintsunoochip,"Lord Jesus, I speak forth healing sa akong tibuok lawas labon na ang ubo. Amen!",2024-03-13T23:14:30.000Z,,,,,tl
1768052386856382829,1130543145085743104,ELJEFE17160886,RT @DaniSentel67728: Chacondos estaré el viernes 15 de marzo en 🚇 DOCTORES Instalada con promo en trío y individual con @ULAM2023 @paola…,2024-03-13T23:11:52.000Z,,,,,es
1768052054256226667,1391865061308780557,Mwbwshami,RT @BoahmedGulf: @SharyBlal @Rakan_6461 @ubo_mousa يا عزيزي نحنا ما نشتغل زي غيرنا عشره من عائلة واحده يركبوا سيارة و يفحصوا وتخرج نتيج…,2024-03-13T23:10:33.000Z,,,,,ar
1768052003757080790,1112262467764146177,Nisexy3,tanginang ubo to,2024-03-13T23:10:21.000Z,,,,,tl
1768051977932726498,943697466926366721,wkymjp,RT @Yumagiri_Rin01: #いろはにも絵を #風真いろは ｷｪ゛ｬ゛ｱ゛ｧ゛ｧ゛ｯ!! https://t.co/VvJ9zfS93i https://t.co/SKp9LrJfMP,2024-03-13T23:10:15.000Z,,,,,ja
1768051507046580647,1271877902972235777,delegasimuda,@liaalnasyahh Ubo rampene Tambahi mba 😁,2024-03-13T23:08:22.000Z,,,,,tl
1768049389082165758,1672727812254359552,alon03219163,RT @DaniSentel67728: Chacondos estaré el viernes 15 de marzo en 🚇 DOCTORES Instalada con promo en trío y individual con @ULAM2023 @paola…,2024-03-13T22:59:57.000Z,,,,,es
1768049299131158771,1672727812254359552,alon03219163,RT @paola1364443: Mis amores estaré el viernes 15 de marzo en 🚇 DOCTORES Instalada con promo en trío y individual con @ULAM2023 @DaniSen…,2024-03-13T22:59:36.000Z,,,,,es
1768049126753673303,1752731730425917440,paola1364443,RT @paola1364443: Mis amores estaré el viernes 15 de marzo en 🚇 DOCTORES Instalada con promo en trío y individual con @ULAM2023 @DaniSen…,2024-03-13T22:58:55.000Z,,,,,es
1768048969609859383,1752731730425917440,paola1364443,RT @DaniSentel67728: Chacondos estaré el viernes 15 de marzo en 🚇 DOCTORES Instalada con promo en trío y individual con @ULAM2023 @paola…,2024-03-13T22:58:17.000Z,,,,,es
1768048777619792117,1704214613410377728,DaniSentel67728,Chacondos estaré el viernes 15 de marzo en 🚇 DOCTORES Instalada con promo en trío y individual con @ULAM2023 @paola1364443 Para escoger trío más info https://t.co/B7opbfSXZp… Apartir 1pm En el COGIEVENTO ubo solo un cambio de chica NO ESTARÁ FABI Pero si estará ULAM🤩 https://t.co/zw7gFQGgdt,2024-03-13T22:57:31.000Z,,,,,es
1768048620736020594,1684538495371558912,MendeTrajk31612,@vegetaboy8 Deka ke go primis ubo.,2024-03-13T22:56:54.000Z,,,,,in
1768048133588791517,809659567017758720,sphe_thechef_mt,RT @NandosSA: Haibo? Uthini manimkhuza uBo? #ForRelativeStrangers https://t.co/MLfkAs6dsD,2024-03-13T22:54:58.000Z,,,,,sl
1768047735062802930,1757014158330200064,jrshkaaaaa,MAY UBO NANAMAN,2024-03-13T22:53:23.000Z,,,,,tl
1768046994403328506,1152559084912050176,glenset__go,every week na lanh may ubo't sipon kainis https://t.co/cwErXm3lUC,2024-03-13T22:50:26.000Z,,,,,tl
1768046792435007686,1503395253537370115,Iovellace,make-up mo maloi damit mo valmasci sapatos mo cln ubo mo pang matanda,2024-03-13T22:49:38.000Z,,,,,tl
1768046259146031379,1742583116244606976,havitot,"god, my body hurts so much. Plus this stupid sipon and ubo. ✋🏻",2024-03-13T22:47:31.000Z,,,,,en
1768046183874740610,1704214613410377728,DaniSentel67728,RT @paola1364443: Mis amores estaré el viernes 15 de marzo en 🚇 DOCTORES Instalada con promo en trío y individual con @ULAM2023 @DaniSen…,2024-03-13T22:47:13.000Z,,,,,es
1768046175763181578,2783308207,vmaaag,napanaginipan kong nagyoyosi daw ako gago talagang hithit buga si ate girl wtf 💀 dko alam kung anong yosi yon TAS NGAYON UBO AKO NANG UBO KAHIT PANAGINIP LANG YON,2024-03-13T22:47:11.000Z,,,,,tl
1768045692365246518,1752731730425917440,paola1364443,Mis amores estaré el viernes 15 de marzo en 🚇 DOCTORES Instalada con promo en trío y individual con @ULAM2023 @DaniSentel67728 Para escoger trío más info https://t.co/PquHBNLlqC Apartir 1pm En el COGIEVENTO ubo solo un cambio de chica NO ESTARÁ FABI Pero si estará ULAM🤩 https://t.co/kfwdIE1wEJ,2024-03-13T22:45:16.000Z,,,,,es
