tweet_id,user_id,username,post,date_created,lat1,long1,lat2,long2,lang
1756830454173372621,4246220404,_eupinguim,@plima_yaisa @littlesmall_one @andre_hilario Kkkkkkkkkkkkkkk sim,2024-02-11T23:59:55.000Z,,,,,pt
1756827760901722403,298820435,Xirulin,"@fajeiro @jilvan_plima @kamiyaKaoru7 @Amandavettorazz Ahh entendi, tem que escolher a dedo. Parece que tá um pouco diferente da picanha e cervejinha fácil que painho prometeu né 🤔",2024-02-11T23:49:13.000Z,,,,,pt
1756815254061752665,91807544,HugoSousa8,"@plima_yaisa Eu encontrei as meninas e fiquei um tempinho com elas, quando voltei ela me deu essa notícia 😭😭",2024-02-11T22:59:31.000Z,,,,,pt
1756801551966802407,1574525078141820941,fajeiro,@Xirulin @jilvan_plima @kamiyaKaoru7 @Amandavettorazz Pode tem que escolher mercado a dedo,2024-02-11T22:05:04.000Z,,,,,pt
1756788197932110062,298820435,Xirulin,"@jilvan_plima @kamiyaKaoru7 @fajeiro @Amandavettorazz Quer dizer então que pobre não tem direito nem de entrar num mercado, tem que mendigar nas feiras por aí. Tá serto, afinal o amor venceu e o amor custa caro né 🤣🤣🤣🤣",2024-02-11T21:12:00.000Z,,,,,pt
1756761573660524648,110240635,arthuralme1da,"@Themannnagain @jilvan_plima @kamiyaKaoru7 @fajeiro @Amandavettorazz E tá comprando num local sem procedência. Comprova que a política de preço continua errada, promessa que o Lula fez não faz sentido. Não pode cumprir. Pai dos pobres, não olha pros pobres ??",2024-02-11T19:26:12.000Z,,,,,pt
1756757514786386169,1497003180147814402,Themannnagain,"@jilvan_plima @kamiyaKaoru7 @fajeiro @Amandavettorazz Ou seja, provou que tá tudo caro. Porque isso que você falou, não dura duas semanas. 1kg de feijão dura em média 10 dias. Carne com osso, tem mais osso que carne e acaba antes de uma semana. Ou seja, você precisaria de uns 400 reais para fazer a compra do mês, se comer só isso.",2024-02-11T19:10:05.000Z,,,,,pt
1756719338332029419,491772396,PatriotaWil,@eliasp_plima Muito bem lembrado.,2024-02-11T16:38:23.000Z,,,,,pt
1756707313438564718,1472552403572604937,raaizada7,@mundinho_PLima vi aqui pelo pc e pedro lima ganhou em,2024-02-11T15:50:36.000Z,,,,,pt
1756700304102334781,100193979,DanilloPeixoto,@jilvan_plima @kamiyaKaoru7 @fajeiro @Amandavettorazz E isso significa q ta bom?,2024-02-11T15:22:45.000Z,,,,,pt
1756519396934095172,91807544,HugoSousa8,@plima_yaisa Fiquei muito trista que minha amiga broma me disse que te viu hj e eu não tava lá 😭😭,2024-02-11T03:23:53.000Z,,,,,pt
1756369664362401893,1422321992166936579,Paulinokkk,@mundinho_PLima Isso ai é só um detalhe,2024-02-10T17:28:54.000Z,,,,,pt
1756368430259745151,1422321992166936579,Paulinokkk,@mundinho_PLima Mundinho Pablo Diego,2024-02-10T17:24:00.000Z,,,,,es
1756362383436439844,1670490956309594119,tomazz1905,@mundinho_PLima Mundinho lucas André,2024-02-10T16:59:58.000Z,,,,,pt
1756359486615212082,2841759177,trinitrot0luen,ponekad plima ponekad oseka ja samo odbijam da budem dio prosjeka,2024-02-10T16:48:27.000Z,,,,,und
1756349356892909892,1674740728184950785,kctzin86254,@mundinho_PLima Mundinho Augusto Carreras,2024-02-10T16:08:12.000Z,,,,,pt
1756345466193621361,1300656158772989953,wholuccasz,@mundinho_PLima Mundinho Yuri Romão,2024-02-10T15:52:45.000Z,,,,,pt
1756323931529646286,1756290141495164928,CRice79182,"@BearCraig91956 @ChrLemp @sirdziey @amengual234 @IvanHostettler @khazarianrabbi @RosmitMantilla @mundinho_PLima @alrightstfunow @bellysours @noharinx @anwaralgbri @Crypto_Poetry @CandlesLemberg @Trollentes @PhillyLoyalRFC @Maru_Bolonka @Enrikr @jmwwlhny @roland_acs @PascoBom @Zaid7276729 Yep bro, you can check in our pinned",2024-02-10T14:27:10.000Z,,,,,en
1756319742233555188,1723910239756353536,BearCraig91956,@ChrLemp @sirdziey @amengual234 @IvanHostettler @khazarianrabbi @RosmitMantilla @mundinho_PLima @alrightstfunow @bellysours @noharinx @anwaralgbri @Crypto_Poetry @CandlesLemberg @Trollentes @PhillyLoyalRFC @Maru_Bolonka @Enrikr @jmwwlhny @roland_acs @PascoBom @Zaid7276729,2024-02-10T14:10:32.000Z,,,,,qam
1756310725419475123,1359819076781146112,n1slovenija,Tradicionalni beneški karneval spremlja slabo vreme in visoka plima. 🔗https://t.co/RwfZc6fnI4 👇,2024-02-10T13:34:42.000Z,,,,,sl
