tweet_id,user_id,username,post,date_created,lat1,long1,lat2,long2,lang
1754757851409465722,925600653556310017,Desmond22457020,RT @Carlos89861118: Ya que no ubo nada https://t.co/kwkkgW2myb,2024-02-06T06:44:08.000Z,,,,,es
1754757850700906843,1319527769479344133,meldsugh6,taray inabot sa ubo't sipon,2024-02-06T06:44:08.000Z,,,,,tl
1754755153335591013,83042702,Alxndrmnc,"naa napod ning ubo nako na madala tanan suka, plema yawa naa pa jud tag bed",2024-02-06T06:33:24.000Z,,,,,tl
1754755138655592597,547375828,camscastillo_,"last week ubo, ngayon nilalagnat. hays",2024-02-06T06:33:21.000Z,,,,,tl
1754754238981583020,1296665141333827584,Jervis44334645,@randomsamson Utak mo may ubo.!! Cgeg engun ang mga apologist d daw ka move on mga fan ni kath. Kamo ray wa ka move on oy. @imdanielpadilla hipusa na imu mga alipores oh. Kalat2x. @KizziahKurt badlunga tawn na imu ka kulto.,2024-02-06T06:29:46.000Z,,,,,tl
1754751429208838550,923454424273403905,cm_bulaqui,tanginang ubo to,2024-02-06T06:18:37.000Z,,,,,tl
1754750098079096959,1683282906247057408,Robertcasil53,RT @Carlos89861118: Ya que no ubo nada https://t.co/kwkkgW2myb,2024-02-06T06:13:19.000Z,,,,,es
1754747051642867931,981117229,crisandcris29,"RT @ferdarperu: 🔥Reunión de amigos (0rgy)💦 🟢Un rica reunión XXX donde ubo de todo, entre tragos y full sexo... 1 hora de video completo!..…",2024-02-06T06:01:13.000Z,,,,,es
1754744259415286029,1728452736512065537,ghghthfd31,hello po anyone po may alam anong dapat inumin ng isang pregnant woman na may ubo?,2024-02-06T05:50:07.000Z,,,,,tl
1754744042099765606,1083419658496004101,ferdarperu,"RT @ferdarperu: 🔥Reunión de amigos (0rgy)💦 🟢Un rica reunión XXX donde ubo de todo, entre tragos y full sexo... 1 hora de video completo!..…",2024-02-06T05:49:15.000Z,,,,,es
1754742157678932420,1112778732186406912,anndyyjuu,basta mangatching jud ko na tuloy2 tas ika pila jud sa isa ka adlaw or adlaw2 na sign najud na sya na magka ubo ko ug mao na ni ron haha,2024-02-06T05:41:46.000Z,,,,,tl
1754741383355633852,1642658445479247872,joaoj012,"RT @ferdarperu: 🔥Reunión de amigos (0rgy)💦 🟢Un rica reunión XXX donde ubo de todo, entre tragos y full sexo... 1 hora de video completo!..…",2024-02-06T05:38:41.000Z,,,,,es
1754741203374100500,1582535013169389571,jungwony_,ano ba yan ayaw gumaling ng ubo at sipon ko *nag brunch ng pancit canton imbis na ipambili ng vitamin c,2024-02-06T05:37:59.000Z,,,,,tl
1754739713855103038,2282042466,josereyalo,"@ubo_pakes @DailyPicTheme2 That chocolate rice porridge, must be what we call 'champorado' 😋🤗 a breakfast fare I can have anywhere ☺️",2024-02-06T05:32:03.000Z,,,,,en
1754738905537302622,1348934058244403200,the1nonlymeyang,"paano ga naman mawawala ang ubo na 'to, lahat kami sa room may ubo na🤝😊😊😊",2024-02-06T05:28:51.000Z,,,,,tl
1754736974307709311,1647662242165579777,JuanMonse315175,@casanovastuder dile eso alos que le vendieron tierras a veite peso el metro para ke pongan hoteles en el sexenio de tus patrones ahi no ubo ecosido como disen,2024-02-06T05:21:10.000Z,,,,,es
1754734763544613101,1534195050640736256,liheedeung,Wala akong tan lines pero meron naman akong ubo at sipon 😭,2024-02-06T05:12:23.000Z,,,,,tl
1754734424959209488,1098015483050295296,angelmonterocr2,RT @Carlos89861118: Ya que no ubo nada https://t.co/kwkkgW2myb,2024-02-06T05:11:02.000Z,,,,,es
1754729754719097076,1003138347966099457,carmen28696830,¡Echa un vistazo al vídeo de DanyMelodyEterna! #TikTok https://t.co/GCGs5rpbPA caso no es extareas el caso k ubo muchos fallecidos,2024-02-06T04:52:29.000Z,,,,,es
1754729707613143320,2189845645,diasayuk2,"@aiyaiyaaaaaaaa @jogmfs Durung gas, royco, bumbu pawon, mrico, micin. Akeh ubo rampene, mba 😭",2024-02-06T04:52:18.000Z,,,,,in
